partid,aspect_ind,sentiment,cond_order,cond_soepframe,age,sex,yearsofedu,job,income,imc1,imc2,qual_focused,qual_effort,done,soep_item,rating,aspect,r_risk,r_frequency,r_social,r_situation,aspect_ind_cat,r_risk_binary,n_seeking,n_avoiding,r_risk_s,r_social_s,r_situation_s,r_frequency_s,m_risk,m_risk_abs,m_social,m_situation,m_frequency,m_sentiment,l_sentiment,s_sentiment,SMRD
ph6c4hf8cu,2,-1,judg_asp,std,45,female,14,employed,1k_2k,correct,correct,100,100,1,gen,1,The idea of taking risks makes me super anxious.,-40,100,61,55,Aspect #2,avoiding,0,3,NaN,0.5773502691896258,0.5773502691896258,0.5773502691896236,-40,40,40.666666666666664,38.666666666666664,98.66666666666667,-0.6666666666666666,1,-2,-1
ph6c4hf8cu,3,1,judg_asp,std,45,female,14,employed,1k_2k,correct,correct,100,100,1,gen,1,I think risk takers are generally lucky people and I am about the most unluckiest person on the planet.,-40,100,61,55,Aspect #3,avoiding,0,3,NaN,0.5773502691896258,0.5773502691896258,0.5773502691896236,-40,40,40.666666666666664,38.666666666666664,98.66666666666667,-0.6666666666666666,1,-2,-1
pgbqe2ivdq,1,-2,judg_asp,rev,52,female,19,employed,3k_4k,correct,correct,86,88,1,gen,7,Because I don't have anyone to bail me out if I mess up,-30,58,0,75,Aspect #1,avoiding,0,6,0.11986582537134605,-0.7687061147858074,-0.5964893135724223,-0.305585418463074,-31,31,6.5,84.83333333333333,63.666666666666664,-1,3,-5,-1
pgbqe2ivdq,2,-5,judg_asp,rev,52,female,19,employed,3k_4k,correct,correct,86,88,1,gen,7,I hate to fail,-33,48,0,89,Aspect #2,avoiding,0,6,-0.2397316507426921,-0.7687061147858074,0.2527497091408573,-0.8448538039861461,-31,31,6.5,84.83333333333333,63.666666666666664,-1,3,-5,-1
pgbqe2ivdq,3,-2,judg_asp,rev,52,female,19,employed,3k_4k,correct,correct,86,88,1,gen,7,Sometimes I lack the confidence to take risks,-26,67,15,57,Aspect #3,avoiding,0,6,0.5993291268567302,1.0052310731814404,-1.6883680570609247,0.17975612850769082,-31,31,6.5,84.83333333333333,63.666666666666664,-1,3,-5,-1
pgbqe2ivdq,4,2,judg_asp,rev,52,female,19,employed,3k_4k,correct,correct,86,88,1,gen,7,I've taken chances in the past and they didn't go well,-38,51,0,88,Aspect #4,avoiding,0,6,-0.8390607775994223,-0.7687061147858074,0.19208977894705162,-0.6830732883292244,-31,31,6.5,84.83333333333333,63.666666666666664,-1,3,-5,-1
pgbqe2ivdq,5,-2,judg_asp,rev,52,female,19,employed,3k_4k,correct,correct,86,88,1,gen,7,I would have to take the risk alone,-18,99,5,100,Aspect #5,avoiding,0,6,1.5582557298274986,-0.17739371879672478,0.9200089412727198,1.9054149621815213,-31,31,6.5,84.83333333333333,63.666666666666664,-1,3,-5,-1
pgbqe2ivdq,6,3,judg_asp,rev,52,female,19,employed,3k_4k,correct,correct,86,88,1,gen,7,Someone had a huge hand in zapping my confidence,-41,59,19,100,Aspect #6+,avoiding,0,6,-1.1986582537134605,1.4782809899727065,0.9200089412727198,-0.25165857991076684,-31,31,6.5,84.83333333333333,63.666666666666664,-1,3,-5,-1
p0q649f7q9,1,-4,asp_judg,std,56,female,16,selfemployed,0_1k,correct,correct,100,100,1,gen,6,How much risk is acceptable risk? Determining that means success or failure.,19,66,32,100,Aspect #1,seeking,1,2,1.1509716786796684,1.1547005383792515,0.5773502691896257,1.070118184584649,-9.666666666666666,22.333333333333332,10.666666666666666,93,50.333333333333336,-3.6666666666666665,-2,-5,1
p0q649f7q9,2,-5,asp_judg,std,56,female,16,selfemployed,0_1k,correct,correct,100,100,1,gen,6,I tend to avoid high risk because I've sustained life-threatening losses before.,-22,37,0,100,Aspect #2,avoiding,1,2,-0.49518548966450854,-0.5773502691896256,0.5773502691896257,-0.910738880497574,-9.666666666666666,22.333333333333332,10.666666666666666,93,50.333333333333336,-3.6666666666666665,-2,-5,1
p0q649f7q9,3,-2,asp_judg,std,56,female,16,selfemployed,0_1k,correct,correct,100,100,1,gen,6,My age enters onto it. I don't have as much time to recover from taking too much risk.,-26,48,0,79,Aspect #3,avoiding,1,2,-0.6557861890151601,-0.5773502691896256,-1.1547005383792515,-0.1593793040870756,-9.666666666666666,22.333333333333332,10.666666666666666,93,50.333333333333336,-3.6666666666666665,-2,-5,1
pr3sfhhpeu,1,NA,judg_asp,std,27,male,18,student,5k_x,correct,correct,100,100,1,gen,10,Drug use,50,100,100,100,Aspect #1,seeking,3,0,1,1.1516420612142766,0.5773502691896263,0.737440892307923,43,43,36.666666666666664,95.33333333333333,69.33333333333333,NaN,-Inf,Inf,1
pr3sfhhpeu,2,NA,judg_asp,std,27,male,18,student,5k_x,correct,correct,100,100,1,gen,10,Speeding,36,86,9,100,Aspect #2,seeking,3,0,-1,-0.5030857425304471,0.5773502691896263,0.4007830936456103,43,43,36.666666666666664,95.33333333333333,69.33333333333333,NaN,-Inf,Inf,1
pr3sfhhpeu,3,NA,judg_asp,std,27,male,18,student,5k_x,correct,correct,100,100,1,gen,10,Gambling,43,22,1,86,Aspect #3,seeking,3,0,0,-0.6485563186838295,-1.1547005383792508,-1.138223985953533,43,43,36.666666666666664,95.33333333333333,69.33333333333333,NaN,-Inf,Inf,1
pgorjlma2i,1,NA,judg_asp,rev,43,female,14,employed,1k_2k,correct,correct,89,88,1,gen,4,It depends on the situation. If it may be dangerous or not.,-10,28,7,70,Aspect #1,avoiding,0,1,NaN,NaN,NaN,NaN,-10,10,7,70,28,NaN,-Inf,Inf,-1
p3h45bs08l,1,0,asp_judg,std,63,male,13,retired,2k_3k,correct,correct,100,100,1,gen,9,I will only take small risks in my current situation. Save as much money as possible with minimul losses.,-48,100,0,100,Aspect #1,avoiding,0,6,0.9128709291752769,-0.42028037153758835,0.4082482904638631,0.999963019802883,-49,49,13.833333333333334,83.33333333333333,65.33333333333333,-0.6,4,-5,-1
p3h45bs08l,2,-1,asp_judg,std,63,male,13,retired,2k_3k,correct,correct,100,100,1,gen,9,I need to pay the mortgage.,-50,71,0,100,Aspect #2,avoiding,0,6,-0.9128709291752769,-0.42028037153758835,0.4082482904638631,0.16345549362162523,-49,49,13.833333333333334,83.33333333333333,65.33333333333333,-0.6,4,-5,-1
p3h45bs08l,3,-1,asp_judg,std,63,male,13,retired,2k_3k,correct,correct,100,100,1,gen,9,I need to pay my bills.,-50,73,0,100,Aspect #3,avoiding,0,6,-0.9128709291752769,-0.42028037153758835,0.4082482904638631,0.22114566784102233,-49,49,13.833333333333334,83.33333333333333,65.33333333333333,-0.6,4,-5,-1
p3h45bs08l,4,NA,asp_judg,std,63,male,13,retired,2k_3k,correct,correct,100,100,1,gen,9,I need to buy food.,-48,100,81,100,Aspect #4,avoiding,0,6,0.9128709291752769,2.040638430477688,0.4082482904638631,0.999963019802883,-49,49,13.833333333333334,83.33333333333333,65.33333333333333,-0.6,4,-5,-1
p3h45bs08l,5,-5,asp_judg,std,63,male,13,retired,2k_3k,correct,correct,100,100,1,gen,9,I won't risk losing my home.,-50,31,0,0,Aspect #5,avoiding,0,6,-0.9128709291752769,-0.42028037153758835,-2.0412414523193148,-0.9903479907663166,-49,49,13.833333333333334,83.33333333333333,65.33333333333333,-0.6,4,-5,-1
p3h45bs08l,6,4,asp_judg,std,63,male,13,retired,2k_3k,correct,correct,100,100,1,gen,9,I will only take a chance if it appears to be in my favor.,-48,17,2,100,Aspect #6+,avoiding,0,6,0.9128709291752769,-0.3595169443273346,0.4082482904638631,-1.3941792103020962,-49,49,13.833333333333334,83.33333333333333,65.33333333333333,-0.6,4,-5,-1
pbea3h8c87,1,NA,asp_judg,rev,21,female,19,student,0_1k,correct,correct,100,92,1,gen,6,I like to try new things.,50,10,0,67,Aspect #1,seeking,1,1,0.7071067811865475,NaN,0.7071067811865476,-0.7071067811865476,0,50,0,36,39,-2,-2,-2,1
pbea3h8c87,2,-2,asp_judg,rev,21,female,19,student,0_1k,correct,correct,100,92,1,gen,6,"No, because I'm scared of a lot of things, like heights",-50,68,0,5,Aspect #2,avoiding,1,1,-0.7071067811865475,NaN,-0.7071067811865476,0.7071067811865476,0,50,0,36,39,-2,-2,-2,1
pl2nrp2d2h,1,2,judg_asp,rev,22,male,15,student,0_1k,correct,correct,100,100,1,gen,4,I dont like risks if the benefits aren't worth it,-21,69,17,59,Aspect #1,avoiding,0,1,NaN,NaN,NaN,NaN,-21,21,17,59,69,2,2,2,-1
pmqjpln9e3,1,-3,asp_judg,std,44,female,16,selfemployed,1k_2k,correct,correct,97,100,1,gen,2,I try and avoid taking risks.,49,99,0,100,Aspect #1,seeking,2,0,0.7071067811865476,NaN,0.7071067811865475,0.7071067811865476,45.5,45.5,0,98,96,-2,-1,-3,1
pmqjpln9e3,2,-1,asp_judg,std,44,female,16,selfemployed,1k_2k,correct,correct,97,100,1,gen,2,I try and go with my gut instincts and voice of reason to avoid risky behavior.,42,93,0,96,Aspect #2,seeking,2,0,-0.7071067811865476,NaN,-0.7071067811865475,-0.7071067811865476,45.5,45.5,0,98,96,-2,-1,-3,1
p5j3thnogb,1,0,judg_asp,rev,53,male,19,employed,4k_5k,correct,correct,100,95,1,gen,1,chance of physical danger,-50,6,37,90,Aspect #1,avoiding,0,3,-0.5773502691896257,0.8728715609439687,1.055451098814574,-0.6704783996548059,-44,44,34.333333333333336,49.666666666666664,27,-2.3333333333333335,0,-5,-1
p5j3thnogb,2,-2,judg_asp,rev,53,male,19,employed,4k_5k,correct,correct,100,95,1,gen,1,Possibly violating rules,-50,12,31,14,Aspect #2,avoiding,0,3,-0.5773502691896257,-1.0910894511799627,-0.9333327898608216,-0.4789131426105757,-44,44,34.333333333333336,49.666666666666664,27,-2.3333333333333335,0,-5,-1
p5j3thnogb,3,-5,judg_asp,rev,53,male,19,employed,4k_5k,correct,correct,100,95,1,gen,1,Failing and causing a bad outcome,-32,63,35,45,Aspect #3,avoiding,0,3,1.1547005383792515,0.21821789023599159,-0.1221183089537523,1.1493915422653818,-44,44,34.333333333333336,49.666666666666664,27,-2.3333333333333335,0,-5,-1
pc04p0ndrn,1,-1,asp_judg,rev,40,female,15,employed,1k_2k,correct,correct,100,100,1,gen,0,I try to avoid so I know what to expect.,-47,81,9,75,Aspect #1,avoiding,0,4,-0.9103456935516067,-0.4532433094584869,1.2451456127293807,0.4733565147343953,-37,37,22,55,75,-2,-1,-4,-1
pc04p0ndrn,2,-4,asp_judg,rev,40,female,15,employed,1k_2k,correct,correct,100,100,1,gen,0,I don't like risks because that is when people get hurt.,-36,64,65,36,Aspect #2,avoiding,0,4,0.09103456935516067,1.4991894082088413,-1.1828883320929116,-0.867820277013058,-37,37,22,55,75,-2,-1,-4,-1
pc04p0ndrn,3,NA,asp_judg,rev,40,female,15,employed,1k_2k,correct,correct,100,100,1,gen,0,Avoiding is a good way to stay on track.,-43,65,7,52,Aspect #3,avoiding,0,4,-0.546207416130964,-0.5229730493751772,-0.1867718419094071,-0.7889275245573255,-37,37,22,55,75,-2,-1,-4,-1
pc04p0ndrn,4,-1,asp_judg,rev,40,female,15,employed,1k_2k,correct,correct,100,100,1,gen,0,I avoid to keep myself on my planned tasks.,-22,90,7,57,Aspect #4,avoiding,0,4,1.3655185403274102,-0.5229730493751772,0.12451456127293807,1.1833912868359882,-37,37,22,55,75,-2,-1,-4,-1
pob34e2cm0,1,-2,judg_asp,std,35,male,19,selfemployed,0_1k,correct,correct,100,100,1,gen,3,I don't like to get hurt.,-39,30,0,89,Aspect #1,avoiding,0,4,1.35225564067071,-0.6429428385758321,0.48139808461610845,-0.21733401797435123,-45.75,45.75,26.25,73,38.75,-2.5,-2,-3,-1
pob34e2cm0,2,NA,judg_asp,std,35,male,19,selfemployed,0_1k,correct,correct,100,100,1,gen,3,I am not in good health.,-49,98,0,100,Aspect #2,avoiding,0,4,-0.6510860492118233,-0.6429428385758321,0.8123592677896829,1.4716617788548927,-45.75,45.75,26.25,73,38.75,-2.5,-2,-3,-1
pob34e2cm0,3,-3,judg_asp,std,35,male,19,selfemployed,0_1k,correct,correct,100,100,1,gen,3,I know how bad things can go.,-50,13,86,25,Aspect #3,avoiding,0,4,-0.8514202182000766,1.46346036590118,-1.4441942538483252,-0.6395829671816622,-45.75,45.75,26.25,73,38.75,-2.5,-2,-3,-1
pob34e2cm0,4,NA,judg_asp,std,35,male,19,selfemployed,0_1k,correct,correct,100,100,1,gen,3,I live on kind of a knife edge.,-45,14,19,78,Aspect #4,avoiding,0,4,0.15025062674119,-0.17757468874951554,0.15043690144253388,-0.6147447936988792,-45.75,45.75,26.25,73,38.75,-2.5,-2,-3,-1
phr4dbis6r,1,-2,judg_asp,rev,55,female,16,employed,2k_3k,correct,correct,100,100,1,gen,2,I don't want to be hurt.,-45,62,46,73,Aspect #1,avoiding,0,3,-0.5773502691896298,-0.16495721976846478,1.1547005383792521,0.6575959492214292,-44.666666666666664,44.666666666666664,47.333333333333336,64.33333333333333,54,-2,-2,-2,-1
phr4dbis6r,2,NA,judg_asp,rev,55,female,16,employed,2k_3k,correct,correct,100,100,1,gen,2,I was brought up to be conservative.,-44,60,56,60,Aspect #2,avoiding,0,3,1.1547005383792472,1.072221928495019,-0.5773502691896252,0.4931969619160719,-44.666666666666664,44.666666666666664,47.333333333333336,64.33333333333333,54,-2,-2,-2,-1
phr4dbis6r,3,-2,judg_asp,rev,55,female,16,employed,2k_3k,correct,correct,100,100,1,gen,2,I am fearful.,-45,40,40,60,Aspect #3,avoiding,0,3,-0.5773502691896298,-0.9072647087265551,-0.5773502691896252,-1.150792911137501,-44.666666666666664,44.666666666666664,47.333333333333336,64.33333333333333,54,-2,-2,-2,-1
p4l115od5v,1,-4,asp_judg,std,56,male,16,employed,3k_4k,correct,correct,95,76,1,gen,2,I am fearful of physical risk,-22,18,10,61,Aspect #1,avoiding,0,4,1.4487364181597444,-0.8659642545943336,-0.029792179586210898,-1.085143415353039,-31.5,31.5,39.75,61.5,50.5,-2.5,2,-6,-1
p4l115od5v,2,-2,asp_judg,std,56,male,16,employed,3k_4k,correct,correct,95,76,1,gen,2,I don't like to fail,-33,66,69,75,Aspect #2,avoiding,0,4,-0.228747855498907,0.8514102335087145,0.8043888488276942,0.5175299365529878,-31.5,31.5,39.75,61.5,50.5,-2.5,2,-6,-1
p4l115od5v,3,-6,asp_judg,std,56,male,16,employed,3k_4k,correct,correct,95,76,1,gen,2,I don't like others to think I am incompetent by taking risks and failing,-37,34,70,72,Aspect #3,avoiding,0,4,-0.8387421368293257,0.8805182756799527,0.6256357713104289,-0.5509189647176967,-31.5,31.5,39.75,61.5,50.5,-2.5,2,-6,-1
p4l115od5v,4,2,asp_judg,std,56,male,16,employed,3k_4k,correct,correct,95,76,1,gen,2,I can't risk taking a chance when I have a family to take care of,-34,84,10,38,Aspect #4,avoiding,0,4,-0.3812464258315117,-0.8659642545943336,-1.4002324405519122,1.118532443517748,-31.5,31.5,39.75,61.5,50.5,-2.5,2,-6,-1
p6sc27g6n8,1,-11,judg_asp,std,38,male,16,employed,4k_5k,correct,correct,88,93,1,gen,1,"I am not willing to take to take risks because I fear financial loss, mental or emotional harm, or physical harm.",-41,3,4,71,Aspect #1,avoiding,0,2,-0.7071067811865476,-0.7071067811865476,0.7071067811865476,-0.7071067811865476,-34,34,12.5,64.5,13.5,-7,-3,-11,-1
p6sc27g6n8,2,-3,judg_asp,std,38,male,16,employed,4k_5k,correct,correct,88,93,1,gen,1,I avoid risks because I do not like the unknown or any situation that isn't planned for and accounted for.,-27,24,21,58,Aspect #2,avoiding,0,2,0.7071067811865476,0.7071067811865476,-0.7071067811865476,0.7071067811865476,-34,34,12.5,64.5,13.5,-7,-3,-11,-1
p1vis9jgq0,1,NA,judg_asp,rev,34,male,14,employed,2k_3k,correct,correct,91,93,1,gen,4,I like the sure thing.,-41,69,5,81,Aspect #1,avoiding,0,3,-0.9072647087265551,-0.6331187571516117,0.17093520167692616,-0.14694367167412928,-33.666666666666664,33.666666666666664,27.333333333333332,78.66666666666667,71.66666666666667,1,3,-1,-1
p1vis9jgq0,2,3,judg_asp,rev,34,male,14,employed,2k_3k,correct,correct,91,93,1,gen,4,I don't have good luck.,-25,55,68,91,Aspect #2,avoiding,0,3,1.072221928495019,1.1528431100372634,0.9035146374351827,-0.9183979479633066,-33.666666666666664,33.666666666666664,27.333333333333332,78.66666666666667,71.66666666666667,1,3,-1,-1
p1vis9jgq0,3,-1,judg_asp,rev,34,male,14,employed,2k_3k,correct,correct,91,93,1,gen,4,I think too hard about all the possibilities and often focus on the negatives.,-35,91,9,64,Aspect #3,avoiding,0,3,-0.16495721976846478,-0.5197243528856514,-1.0744498391121098,1.0653416196374352,-33.666666666666664,33.666666666666664,27.333333333333332,78.66666666666667,71.66666666666667,1,3,-1,-1
pigl6mph69,1,-2,asp_judg,std,48,male,16,employed,2k_3k,correct,correct,100,86,1,gen,1,Risk stresses me out.,-20,95,0,8,Aspect #1,avoiding,0,1,NaN,NaN,NaN,NaN,-20,20,0,8,95,-2,-2,-2,-1
pmk7bbsa9k,1,-2,asp_judg,rev,22,male,16,employed,1k_2k,correct,correct,100,100,1,gen,8,I take risks to profit personally,47,74,23,78,Aspect #1,seeking,3,1,0.644825880219161,-0.3003958438139414,-1.2049896265113655,-0.4608572235855412,27,36.5,29.75,89,78,-2.25,2,-6,1
pmk7bbsa9k,2,2,asp_judg,rev,22,male,16,employed,1k_2k,correct,correct,100,100,1,gen,8,I take risks because they are usually fun,36,74,63,91,Aspect #2,seeking,3,1,0.29017164609862245,1.4797276750834893,0.21908902300206645,-0.4608572235855412,27,36.5,29.75,89,78,-2.25,2,-6,1
pmk7bbsa9k,3,-6,asp_judg,rev,22,male,16,employed,1k_2k,correct,correct,100,100,1,gen,8,I take risks because I'm not afraid of failure,44,91,19,100,Aspect #3,seeking,3,1,0.5481019981862868,-0.4784081957036845,1.2049896265113655,1.4977859766530088,27,36.5,29.75,89,78,-2.25,2,-6,1
pmk7bbsa9k,4,-3,asp_judg,rev,22,male,16,employed,1k_2k,correct,correct,100,100,1,gen,8,I only avoid risks I find to not have a worthwhile payoff,-19,73,14,87,Aspect #4,avoiding,3,1,-1.4830995245040703,-0.7009236355658633,-0.21908902300206645,-0.5760715294819265,27,36.5,29.75,89,78,-2.25,2,-6,1
p56jepscab,1,NA,judg_asp,std,23,male,15,student,0_1k,correct,correct,81,81,1,gen,4,I don't like uncertainty,-50,83,9,62,Aspect #1,avoiding,0,4,-1.231984805614429,-1.1405348184650688,-0.2150122317600065,0.4392941269891137,-34,34,20.5,67.5,78.25,-2,-2,-2,-1
