id,"partid","aspect_id_1","aspect_id_2","aspect_1","aspect_2"
87,"p3jalp38g1","s2.1","s2.2","i would rather regret something i did do than regret that i didn't try something.","usually when i take calculated risks that are well thought-out, i have fair to good results."
88,"p3jalp38g1","s2.1","s2.3","i would rather regret something i did do than regret that i didn't try something.","life gets boring if i don't take any risks."
89,"p3jalp38g1","s2.1","s2.4","i would rather regret something i did do than regret that i didn't try something.","if i want to get ahead, some risks are pretty much inevitable."
90,"p3jalp38g1","s2.2","s2.3","usually when i take calculated risks that are well thought-out, i have fair to good results.","life gets boring if i don't take any risks."
91,"p3jalp38g1","s2.2","s2.4","usually when i take calculated risks that are well thought-out, i have fair to good results.","if i want to get ahead, some risks are pretty much inevitable."
92,"p3jalp38g1","s2.3","s2.4","life gets boring if i don't take any risks.","if i want to get ahead, some risks are pretty much inevitable."
93,"ps98rq7foh","s1.1","s1.2","i knew the payoffs would be high.","the risk isn't really a risk in the grand scheme of things."
94,"ps98rq7foh","s1.1","s2.1","i knew the payoffs would be high.","i try to avoid risks so i dont lose anything."
95,"ps98rq7foh","s1.1","s2.2","i knew the payoffs would be high.","i work hard for what i have, so i dont want to risk losing it"
96,"ps98rq7foh","s1.2","s2.1","the risk isn't really a risk in the grand scheme of things.","i try to avoid risks so i dont lose anything."
97,"ps98rq7foh","s1.2","s2.2","the risk isn't really a risk in the grand scheme of things.","i work hard for what i have, so i dont want to risk losing it"
98,"ps98rq7foh","s2.1","s2.2","i try to avoid risks so i dont lose anything.","i work hard for what i have, so i dont want to risk losing it"
99,"p1taj15j1d","s1.1","s1.2","i like taking risks.","there is truth to the risk and reward theory."
100,"p1taj15j1d","s1.1","s1.3","i like taking risks.","risks make things more fun."
101,"p1taj15j1d","s1.1","s1.4","i like taking risks.","risks keep life from being boring."
102,"p1taj15j1d","s1.1","s2.1","i like taking risks.","risk is related to reward"
103,"p1taj15j1d","s1.1","s2.2","i like taking risks.","risk adds fun to life"
104,"p1taj15j1d","s1.1","s2.3","i like taking risks.","risk is domination of fear"
105,"p1taj15j1d","s1.1","s2.4","i like taking risks.","i like playing the odds"
106,"p1taj15j1d","s1.1","s2.5","i like taking risks.","i usually end up on the winning side"
107,"p1taj15j1d","s1.2","s1.3","there is truth to the risk and reward theory.","risks make things more fun."
108,"p1taj15j1d","s1.2","s1.4","there is truth to the risk and reward theory.","risks keep life from being boring."
109,"p1taj15j1d","s1.2","s2.1","there is truth to the risk and reward theory.","risk is related to reward"
110,"p1taj15j1d","s1.2","s2.2","there is truth to the risk and reward theory.","risk adds fun to life"
111,"p1taj15j1d","s1.2","s2.3","there is truth to the risk and reward theory.","risk is domination of fear"
112,"p1taj15j1d","s1.2","s2.4","there is truth to the risk and reward theory.","i like playing the odds"
113,"p1taj15j1d","s1.2","s2.5","there is truth to the risk and reward theory.","i usually end up on the winning side"
114,"p1taj15j1d","s1.3","s1.4","risks make things more fun.","risks keep life from being boring."
115,"p1taj15j1d","s1.3","s2.1","risks make things more fun.","risk is related to reward"
116,"p1taj15j1d","s1.3","s2.2","risks make things more fun.","risk adds fun to life"
117,"p1taj15j1d","s1.3","s2.3","risks make things more fun.","risk is domination of fear"
118,"p1taj15j1d","s1.3","s2.4","risks make things more fun.","i like playing the odds"
119,"p1taj15j1d","s1.3","s2.5","risks make things more fun.","i usually end up on the winning side"
120,"p1taj15j1d","s1.4","s2.1","risks keep life from being boring.","risk is related to reward"
121,"p1taj15j1d","s1.4","s2.2","risks keep life from being boring.","risk adds fun to life"
122,"p1taj15j1d","s1.4","s2.3","risks keep life from being boring.","risk is domination of fear"
123,"p1taj15j1d","s1.4","s2.4","risks keep life from being boring.","i like playing the odds"
124,"p1taj15j1d","s1.4","s2.5","risks keep life from being boring.","i usually end up on the winning side"
125,"p1taj15j1d","s2.1","s2.2","risk is related to reward","risk adds fun to life"
126,"p1taj15j1d","s2.1","s2.3","risk is related to reward","risk is domination of fear"
127,"p1taj15j1d","s2.1","s2.4","risk is related to reward","i like playing the odds"
128,"p1taj15j1d","s2.1","s2.5","risk is related to reward","i usually end up on the winning side"
129,"p1taj15j1d","s2.2","s2.3","risk adds fun to life","risk is domination of fear"
130,"p1taj15j1d","s2.2","s2.4","risk adds fun to life","i like playing the odds"
131,"p1taj15j1d","s2.2","s2.5","risk adds fun to life","i usually end up on the winning side"
132,"p1taj15j1d","s2.3","s2.4","risk is domination of fear","i like playing the odds"
133,"p1taj15j1d","s2.3","s2.5","risk is domination of fear","i usually end up on the winning side"
134,"p1taj15j1d","s2.4","s2.5","i like playing the odds","i usually end up on the winning side"
135,"p7u54fcc4q","s1.1","s1.2","how significant is the risk?","how likely is the risk of something bad happening?"
136,"p7u54fcc4q","s1.1","s1.3","how significant is the risk?","what might the benefit be?"
137,"p7u54fcc4q","s1.1","s1.4","how significant is the risk?","do i think i'm capable?"
138,"p7u54fcc4q","s1.1","s1.5","how significant is the risk?","can i deal successfully with possible bad outcomes?"
139,"p7u54fcc4q","s1.1","s1.6","how significant is the risk?","what will people think of me if i fail?"
140,"p7u54fcc4q","s1.1","s1.7","how significant is the risk?","what will people think of me if i don't try?"
141,"p7u54fcc4q","s1.1","s1.8","how significant is the risk?","will i regret not taking the risk?"
142,"p7u54fcc4q","s1.1","s2.1","how significant is the risk?","i prefer the known to the unknown."
143,"p7u54fcc4q","s1.1","s2.2","how significant is the risk?","i'm not confident in my abilities."
144,"p7u54fcc4q","s1.1","s2.3","how significant is the risk?","i'm not confident that i can deal with negative outcomes."
145,"p7u54fcc4q","s1.1","s2.4","how significant is the risk?","i learned to be cautious from my family."
146,"p7u54fcc4q","s1.1","s2.5","how significant is the risk?","the prospect of taking risks makes me feel fearful."
147,"p7u54fcc4q","s1.2","s1.3","how likely is the risk of something bad happening?","what might the benefit be?"
148,"p7u54fcc4q","s1.2","s1.4","how likely is the risk of something bad happening?","do i think i'm capable?"
149,"p7u54fcc4q","s1.2","s1.5","how likely is the risk of something bad happening?","can i deal successfully with possible bad outcomes?"
150,"p7u54fcc4q","s1.2","s1.6","how likely is the risk of something bad happening?","what will people think of me if i fail?"
151,"p7u54fcc4q","s1.2","s1.7","how likely is the risk of something bad happening?","what will people think of me if i don't try?"
152,"p7u54fcc4q","s1.2","s1.8","how likely is the risk of something bad happening?","will i regret not taking the risk?"
153,"p7u54fcc4q","s1.2","s2.1","how likely is the risk of something bad happening?","i prefer the known to the unknown."
154,"p7u54fcc4q","s1.2","s2.2","how likely is the risk of something bad happening?","i'm not confident in my abilities."
155,"p7u54fcc4q","s1.2","s2.3","how likely is the risk of something bad happening?","i'm not confident that i can deal with negative outcomes."
156,"p7u54fcc4q","s1.2","s2.4","how likely is the risk of something bad happening?","i learned to be cautious from my family."
157,"p7u54fcc4q","s1.2","s2.5","how likely is the risk of something bad happening?","the prospect of taking risks makes me feel fearful."
158,"p7u54fcc4q","s1.3","s1.4","what might the benefit be?","do i think i'm capable?"
159,"p7u54fcc4q","s1.3","s1.5","what might the benefit be?","can i deal successfully with possible bad outcomes?"
160,"p7u54fcc4q","s1.3","s1.6","what might the benefit be?","what will people think of me if i fail?"
161,"p7u54fcc4q","s1.3","s1.7","what might the benefit be?","what will people think of me if i don't try?"
162,"p7u54fcc4q","s1.3","s1.8","what might the benefit be?","will i regret not taking the risk?"
163,"p7u54fcc4q","s1.3","s2.1","what might the benefit be?","i prefer the known to the unknown."
164,"p7u54fcc4q","s1.3","s2.2","what might the benefit be?","i'm not confident in my abilities."
165,"p7u54fcc4q","s1.3","s2.3","what might the benefit be?","i'm not confident that i can deal with negative outcomes."
166,"p7u54fcc4q","s1.3","s2.4","what might the benefit be?","i learned to be cautious from my family."
167,"p7u54fcc4q","s1.3","s2.5","what might the benefit be?","the prospect of taking risks makes me feel fearful."
168,"p7u54fcc4q","s1.4","s1.5","do i think i'm capable?","can i deal successfully with possible bad outcomes?"
169,"p7u54fcc4q","s1.4","s1.6","do i think i'm capable?","what will people think of me if i fail?"
170,"p7u54fcc4q","s1.4","s1.7","do i think i'm capable?","what will people think of me if i don't try?"
171,"p7u54fcc4q","s1.4","s1.8","do i think i'm capable?","will i regret not taking the risk?"
172,"p7u54fcc4q","s1.4","s2.1","do i think i'm capable?","i prefer the known to the unknown."
173,"p7u54fcc4q","s1.4","s2.2","do i think i'm capable?","i'm not confident in my abilities."
174,"p7u54fcc4q","s1.4","s2.3","do i think i'm capable?","i'm not confident that i can deal with negative outcomes."
175,"p7u54fcc4q","s1.4","s2.4","do i think i'm capable?","i learned to be cautious from my family."
176,"p7u54fcc4q","s1.4","s2.5","do i think i'm capable?","the prospect of taking risks makes me feel fearful."
177,"p7u54fcc4q","s1.5","s1.6","can i deal successfully with possible bad outcomes?","what will people think of me if i fail?"
178,"p7u54fcc4q","s1.5","s1.7","can i deal successfully with possible bad outcomes?","what will people think of me if i don't try?"
179,"p7u54fcc4q","s1.5","s1.8","can i deal successfully with possible bad outcomes?","will i regret not taking the risk?"
180,"p7u54fcc4q","s1.5","s2.1","can i deal successfully with possible bad outcomes?","i prefer the known to the unknown."
181,"p7u54fcc4q","s1.5","s2.2","can i deal successfully with possible bad outcomes?","i'm not confident in my abilities."
182,"p7u54fcc4q","s1.5","s2.3","can i deal successfully with possible bad outcomes?","i'm not confident that i can deal with negative outcomes."
183,"p7u54fcc4q","s1.5","s2.4","can i deal successfully with possible bad outcomes?","i learned to be cautious from my family."
184,"p7u54fcc4q","s1.5","s2.5","can i deal successfully with possible bad outcomes?","the prospect of taking risks makes me feel fearful."
185,"p7u54fcc4q","s1.6","s1.7","what will people think of me if i fail?","what will people think of me if i don't try?"
186,"p7u54fcc4q","s1.6","s1.8","what will people think of me if i fail?","will i regret not taking the risk?"
187,"p7u54fcc4q","s1.6","s2.1","what will people think of me if i fail?","i prefer the known to the unknown."
188,"p7u54fcc4q","s1.6","s2.2","what will people think of me if i fail?","i'm not confident in my abilities."
189,"p7u54fcc4q","s1.6","s2.3","what will people think of me if i fail?","i'm not confident that i can deal with negative outcomes."
190,"p7u54fcc4q","s1.6","s2.4","what will people think of me if i fail?","i learned to be cautious from my family."
191,"p7u54fcc4q","s1.6","s2.5","what will people think of me if i fail?","the prospect of taking risks makes me feel fearful."
192,"p7u54fcc4q","s1.7","s1.8","what will people think of me if i don't try?","will i regret not taking the risk?"
193,"p7u54fcc4q","s1.7","s2.1","what will people think of me if i don't try?","i prefer the known to the unknown."
194,"p7u54fcc4q","s1.7","s2.2","what will people think of me if i don't try?","i'm not confident in my abilities."
195,"p7u54fcc4q","s1.7","s2.3","what will people think of me if i don't try?","i'm not confident that i can deal with negative outcomes."
196,"p7u54fcc4q","s1.7","s2.4","what will people think of me if i don't try?","i learned to be cautious from my family."
197,"p7u54fcc4q","s1.7","s2.5","what will people think of me if i don't try?","the prospect of taking risks makes me feel fearful."
198,"p7u54fcc4q","s1.8","s2.1","will i regret not taking the risk?","i prefer the known to the unknown."
199,"p7u54fcc4q","s1.8","s2.2","will i regret not taking the risk?","i'm not confident in my abilities."
200,"p7u54fcc4q","s1.8","s2.3","will i regret not taking the risk?","i'm not confident that i can deal with negative outcomes."
201,"p7u54fcc4q","s1.8","s2.4","will i regret not taking the risk?","i learned to be cautious from my family."
202,"p7u54fcc4q","s1.8","s2.5","will i regret not taking the risk?","the prospect of taking risks makes me feel fearful."
203,"p7u54fcc4q","s2.1","s2.2","i prefer the known to the unknown.","i'm not confident in my abilities."
204,"p7u54fcc4q","s2.1","s2.3","i prefer the known to the unknown.","i'm not confident that i can deal with negative outcomes."
205,"p7u54fcc4q","s2.1","s2.4","i prefer the known to the unknown.","i learned to be cautious from my family."
206,"p7u54fcc4q","s2.1","s2.5","i prefer the known to the unknown.","the prospect of taking risks makes me feel fearful."
207,"p7u54fcc4q","s2.2","s2.3","i'm not confident in my abilities.","i'm not confident that i can deal with negative outcomes."
208,"p7u54fcc4q","s2.2","s2.4","i'm not confident in my abilities.","i learned to be cautious from my family."
209,"p7u54fcc4q","s2.2","s2.5","i'm not confident in my abilities.","the prospect of taking risks makes me feel fearful."
210,"p7u54fcc4q","s2.3","s2.4","i'm not confident that i can deal with negative outcomes.","i learned to be cautious from my family."
211,"p7u54fcc4q","s2.3","s2.5","i'm not confident that i can deal with negative outcomes.","the prospect of taking risks makes me feel fearful."
212,"p7u54fcc4q","s2.4","s2.5","i learned to be cautious from my family.","the prospect of taking risks makes me feel fearful."
213,"pr4ak5i3sl","s1.1","s1.2","for family","for friends"
214,"pr4ak5i3sl","s1.1","s1.3","for family","to save someone"
215,"pr4ak5i3sl","s1.1","s1.4","for family","to better their lives"
216,"pr4ak5i3sl","s1.1","s2.1","for family","save a life"
217,"pr4ak5i3sl","s1.1","s2.2","for family","better my life"
218,"pr4ak5i3sl","s1.1","s2.3","for family","protect my kids"
219,"pr4ak5i3sl","s1.1","s2.4","for family","provide for my kids"
220,"pr4ak5i3sl","s1.1","s2.5","for family","protect others"
221,"pr4ak5i3sl","s1.2","s1.3","for friends","to save someone"
222,"pr4ak5i3sl","s1.2","s1.4","for friends","to better their lives"
223,"pr4ak5i3sl","s1.2","s2.1","for friends","save a life"
224,"pr4ak5i3sl","s1.2","s2.2","for friends","better my life"
225,"pr4ak5i3sl","s1.2","s2.3","for friends","protect my kids"
226,"pr4ak5i3sl","s1.2","s2.4","for friends","provide for my kids"
227,"pr4ak5i3sl","s1.2","s2.5","for friends","protect others"
228,"pr4ak5i3sl","s1.3","s1.4","to save someone","to better their lives"
229,"pr4ak5i3sl","s1.3","s2.1","to save someone","save a life"
230,"pr4ak5i3sl","s1.3","s2.2","to save someone","better my life"
231,"pr4ak5i3sl","s1.3","s2.3","to save someone","protect my kids"
232,"pr4ak5i3sl","s1.3","s2.4","to save someone","provide for my kids"
233,"pr4ak5i3sl","s1.3","s2.5","to save someone","protect others"
234,"pr4ak5i3sl","s1.4","s2.1","to better their lives","save a life"
235,"pr4ak5i3sl","s1.4","s2.2","to better their lives","better my life"
236,"pr4ak5i3sl","s1.4","s2.3","to better their lives","protect my kids"
237,"pr4ak5i3sl","s1.4","s2.4","to better their lives","provide for my kids"
238,"pr4ak5i3sl","s1.4","s2.5","to better their lives","protect others"
239,"pr4ak5i3sl","s2.1","s2.2","save a life","better my life"
240,"pr4ak5i3sl","s2.1","s2.3","save a life","protect my kids"
241,"pr4ak5i3sl","s2.1","s2.4","save a life","provide for my kids"
242,"pr4ak5i3sl","s2.1","s2.5","save a life","protect others"
243,"pr4ak5i3sl","s2.2","s2.3","better my life","protect my kids"
244,"pr4ak5i3sl","s2.2","s2.4","better my life","provide for my kids"
245,"pr4ak5i3sl","s2.2","s2.5","better my life","protect others"
246,"pr4ak5i3sl","s2.3","s2.4","protect my kids","provide for my kids"
247,"pr4ak5i3sl","s2.3","s2.5","protect my kids","protect others"
248,"pr4ak5i3sl","s2.4","s2.5","provide for my kids","protect others"
249,"p4oucjvdm1","s1.1","s1.2","avoiding loss.","being rewarded for your risk."
250,"p4oucjvdm1","s1.1","s2.1","avoiding loss.","avoid loss"
251,"p4oucjvdm1","s1.1","s2.2","avoiding loss.","avoid injury"
252,"p4oucjvdm1","s1.2","s2.1","being rewarded for your risk.","avoid loss"
253,"p4oucjvdm1","s1.2","s2.2","being rewarded for your risk.","avoid injury"
254,"p4oucjvdm1","s2.1","s2.2","avoid loss","avoid injury"
255,"pl40upe2b5","s1.1","s1.2","i do enjoy taking risks, but only if i feel that the payoff is worth it.","i feel that there are things left to be gained in life if only one takes the risks."
256,"pl40upe2b5","s1.1","s1.3","i do enjoy taking risks, but only if i feel that the payoff is worth it.","risks, while sometimes not worth the trouble, can lead to amazing stories and a worthwhile payoff."
257,"pl40upe2b5","s1.1","s2.1","i do enjoy taking risks, but only if i feel that the payoff is worth it.","i take risks if the pros outweigh the cons."
258,"pl40upe2b5","s1.1","s2.2","i do enjoy taking risks, but only if i feel that the payoff is worth it.","i take risks if i feel that i may may benefit from it in some way, shape, or form."
259,"pl40upe2b5","s1.1","s2.3","i do enjoy taking risks, but only if i feel that the payoff is worth it.","i take risks if my friend group does it collaboratively."
260,"pl40upe2b5","s1.2","s1.3","i feel that there are things left to be gained in life if only one takes the risks.","risks, while sometimes not worth the trouble, can lead to amazing stories and a worthwhile payoff."
261,"pl40upe2b5","s1.2","s2.1","i feel that there are things left to be gained in life if only one takes the risks.","i take risks if the pros outweigh the cons."
262,"pl40upe2b5","s1.2","s2.2","i feel that there are things left to be gained in life if only one takes the risks.","i take risks if i feel that i may may benefit from it in some way, shape, or form."
263,"pl40upe2b5","s1.2","s2.3","i feel that there are things left to be gained in life if only one takes the risks.","i take risks if my friend group does it collaboratively."
264,"pl40upe2b5","s1.3","s2.1","risks, while sometimes not worth the trouble, can lead to amazing stories and a worthwhile payoff.","i take risks if the pros outweigh the cons."
265,"pl40upe2b5","s1.3","s2.2","risks, while sometimes not worth the trouble, can lead to amazing stories and a worthwhile payoff.","i take risks if i feel that i may may benefit from it in some way, shape, or form."
266,"pl40upe2b5","s1.3","s2.3","risks, while sometimes not worth the trouble, can lead to amazing stories and a worthwhile payoff.","i take risks if my friend group does it collaboratively."
267,"pl40upe2b5","s2.1","s2.2","i take risks if the pros outweigh the cons.","i take risks if i feel that i may may benefit from it in some way, shape, or form."
268,"pl40upe2b5","s2.1","s2.3","i take risks if the pros outweigh the cons.","i take risks if my friend group does it collaboratively."
269,"pl40upe2b5","s2.2","s2.3","i take risks if i feel that i may may benefit from it in some way, shape, or form.","i take risks if my friend group does it collaboratively."
270,"p35a1ai7bf","s1.1","s1.2","i would rather deal with a sure thing than take a risk","i don't mid starting something from scratch and build it up but i won't risk everything on speculation"
271,"p35a1ai7bf","s1.1","s1.3","i would rather deal with a sure thing than take a risk","i lost a lot of money in the stock market and it ended my taking risks and taught me a valuable lesson"
272,"p35a1ai7bf","s1.1","s2.1","i would rather deal with a sure thing than take a risk","i'm not much of a gambler as i much prefer the odds in my favor"
273,"p35a1ai7bf","s1.1","s2.2","i would rather deal with a sure thing than take a risk","i lost a great deal of money in the stock market by taking risks."
274,"p35a1ai7bf","s1.1","s2.3","i would rather deal with a sure thing than take a risk","there are people that will take risks and people that won't. i won't."
275,"p35a1ai7bf","s1.2","s1.3","i don't mid starting something from scratch and build it up but i won't risk everything on speculation","i lost a lot of money in the stock market and it ended my taking risks and taught me a valuable lesson"
276,"p35a1ai7bf","s1.2","s2.1","i don't mid starting something from scratch and build it up but i won't risk everything on speculation","i'm not much of a gambler as i much prefer the odds in my favor"
277,"p35a1ai7bf","s1.2","s2.2","i don't mid starting something from scratch and build it up but i won't risk everything on speculation","i lost a great deal of money in the stock market by taking risks."
278,"p35a1ai7bf","s1.2","s2.3","i don't mid starting something from scratch and build it up but i won't risk everything on speculation","there are people that will take risks and people that won't. i won't."
