partid,aspect_ind,sentiment,age,sex,yearsofedu,job,income,qual_focused,qual_effort,duration,rating,aspect,r_risk,r_frequency,r_social,r_situation,r_control,r_active,aspect_ind_cat,r_risk_binary,r_risk_binary_n,n_aspects,n_seeking,n_avoiding,s_aspects,m_aspects,m_risk,s_risk,p_social,p_situation,p_control,p_active,rank_frequency,med_frequency,SMRD,mean_sentiment,max_sentiment,min_sentiment
p0oa92mvhu,6,0,48,female,18,employed,2k_3k,100,100,288,0,I can't afford to fail.,-50,week,1,1,controllable,active,Aspect #6,Contra,-1,6,0,6,-6,-1,-49.833333333333336,-299,0.6666666666666666,1,0.8333333333333334,0.6666666666666666,2,1.5,-1,-0.4,1,-1
p0ukliu18j,1,-2,34,female,18,employed,1k_2k,100,100,265,2,I avoid taking risks so I dont lose what I have built up over the years,-50,less_reg,0,0,controllable,passive,Aspect #1,Contra,-1,3,0,3,-3,-1,-42,-126,0,0.3333333333333333,1,0.3333333333333333,5,5,-1,-2,-1,-3
p0ukliu18j,2,-1,34,female,18,employed,1k_2k,100,100,265,2,I avoid taking risks so I dont jeopordize what my husband has,-44,less_reg,0,1,controllable,active,Aspect #2,Contra,-1,3,0,3,-3,-1,-42,-126,0,0.3333333333333333,1,0.3333333333333333,5,5,-1,-2,-1,-3
p0ukliu18j,3,-3,34,female,18,employed,1k_2k,100,100,265,2,i avoid taking risks because it feels bad to lose something,-32,month,0,0,controllable,passive,Aspect #3,Contra,-1,3,0,3,-3,-1,-42,-126,0,0.3333333333333333,1,0.3333333333333333,3,5,-1,-2,-1,-3
p17frg3toe,1,-1,29,female,13,employed,0_1k,98,96,357,7,I take risks because life is too short.,50,week,0,0,uncontrollable,active,Aspect #1,Pro,1,6,3,3,0,0,5,30,0,0.16666666666666666,0.5,0.8,2,3,0.6666666666666666,-1.3333333333333333,0,-2
p17frg3toe,2,-1,29,female,13,employed,0_1k,98,96,357,7,I take risks because you never know what will happen if you dont try.,26,month,0,0,controllable,NA,Aspect #2,Pro,1,6,3,3,0,0,5,30,0,0.16666666666666666,0.5,0.8,3,3,0.6666666666666666,-1.3333333333333333,0,-2
p17frg3toe,3,-2,29,female,13,employed,0_1k,98,96,357,7,I sometimes do avoid risks because my anxiety overpowers the urge to do something.,-48,month,0,1,uncontrollable,passive,Aspect #3,Contra,-1,6,3,3,0,0,5,30,0,0.16666666666666666,0.5,0.8,3,3,0.6666666666666666,-1.3333333333333333,0,-2
p17frg3toe,4,-2,29,female,13,employed,0_1k,98,96,357,7,Taking risks is dangerous and sometimes should be thought about or avoided.,-39,week,0,0,controllable,active,Aspect #4,Contra,-1,6,3,3,0,0,5,30,0,0.16666666666666666,0.5,0.8,2,3,0.6666666666666666,-1.3333333333333333,0,-2
p17frg3toe,5,0,29,female,13,employed,0_1k,98,96,357,7,I like to take risks because so many amazing things could happen if you just put yourself out there and try something new.,49,month,0,0,uncontrollable,active,Aspect #5,Pro,1,6,3,3,0,0,5,30,0,0.16666666666666666,0.5,0.8,3,3,0.6666666666666666,-1.3333333333333333,0,-2
p17frg3toe,6,-2,29,female,13,employed,0_1k,98,96,357,7,Depending on the risk it should sometimes be taken and other times if its harmful to you then it needs to be avoided.,-8,month,0,0,controllable,active,Aspect #6,Contra,-1,6,3,3,0,0,5,30,0,0.16666666666666666,0.5,0.8,3,3,0.6666666666666666,-1.3333333333333333,0,-2
p1e4oq4tga,1,-2,23,male,12,employed,1k_2k,100,100,186,1,I avoid risks due to fear,28,month,0,1,controllable,passive,Aspect #1,Pro,1,3,2,1,1,0.3333333333333333,3.3333333333333335,10,0,1,1,0,3,3,0,-1,0,-2
p1e4oq4tga,2,-1,23,male,12,employed,1k_2k,100,100,186,1,I don't like taking risks,-32,year,0,1,controllable,passive,Aspect #2,Contra,-1,3,2,1,1,0.3333333333333333,3.3333333333333335,10,0,1,1,0,4,3,0,-1,0,-2
p1e4oq4tga,3,0,23,male,12,employed,1k_2k,100,100,186,1,Sometimes risks are not worth it,14,month,0,1,controllable,passive,Aspect #3,Pro,1,3,2,1,1,0.3333333333333333,3.3333333333333335,10,0,1,1,0,3,3,0,-1,0,-2
p1r1ko3a6n,1,-3,26,female,17,employed,3k_4k,97,94,330,3,"I'm generally risk averse, I will not put my money in a risky investment",-19,day,0,1,controllable,active,Aspect #1,Contra,-1,3,0,3,-3,-1,-19.333333333333332,-58,0,1,1,1,1,1,-1,-1.6666666666666667,0,-3
p1r1ko3a6n,2,0,26,female,17,employed,3k_4k,97,94,330,3,"I prefer to work in a stable and boring job, rather than in a startup where it's unclear if my position is guaranteed",-20,day,0,1,controllable,active,Aspect #2,Contra,-1,3,0,3,-3,-1,-19.333333333333332,-58,0,1,1,1,1,1,-1,-1.6666666666666667,0,-3
p1r1ko3a6n,3,-2,26,female,17,employed,3k_4k,97,94,330,3,I will generally stay on my plans and not go off tangent to avoid unnecessary risks,-19,day,0,1,controllable,active,Aspect #3,Contra,-1,3,0,3,-3,-1,-19.333333333333332,-58,0,1,1,1,1,1,-1,-1.6666666666666667,0,-3
p1ro9fujga,1,-4,56,female,16,unemployed,0_1k,91,86,414,3,"I am financially conservative and hate to lose money, so I am not willing to take too much financial risk.  ",-50,NA,0,0,controllable,active,Aspect #1,Contra,-1,2,0,2,-2,-1,-45,-90,0,0.5,1,1,NA,4,-1,-2.5,-1,-4
p1ro9fujga,2,-1,56,female,16,unemployed,0_1k,91,86,414,3,"I am an introvert and do not like meeting new people, so I do not take much risk socially.",-40,year,0,1,controllable,active,Aspect #2,Contra,-1,2,0,2,-2,-1,-45,-90,0,0.5,1,1,4,4,-1,-2.5,-1,-4
p1taj15j1d,1,-1,36,male,16,employed,1k_2k,100,100,160,7,I like taking risks.,39,NA,NA,1,NA,active,Aspect #1,Pro,1,4,4,0,4,1,39,156,0,1,NaN,1,NA,2,1,-0.75,0,-2
p1taj15j1d,2,0,36,male,16,employed,1k_2k,100,100,160,7,There is truth to the risk and reward theory.,40,week,NA,1,NA,active,Aspect #2,Pro,1,4,4,0,4,1,39,156,0,1,NaN,1,2,2,1,-0.75,0,-2
p1taj15j1d,3,0,36,male,16,employed,1k_2k,100,100,160,7,Risks make things more fun.,39,week,0,1,NA,active,Aspect #3,Pro,1,4,4,0,4,1,39,156,0,1,NaN,1,2,2,1,-0.75,0,-2
p1taj15j1d,4,-2,36,male,16,employed,1k_2k,100,100,160,7,Risks keep life from being boring.,38,NA,NA,1,NA,active,Aspect #4,Pro,1,4,4,0,4,1,39,156,0,1,NaN,1,NA,2,1,-0.75,0,-2
p2chi38atk,1,-3,32,male,14,employed,0_1k,100,84,318,2,I don't have much to work with to begin with so taking unnecessary risks just seems like a bad idea,-42,day,0,1,controllable,passive,Aspect #1,Contra,-1,2,0,2,-2,-1,-32,-64,0.5,1,0.5,0,1,1,-1,-2,-1,-3
p2chi38atk,2,-1,32,male,14,employed,0_1k,100,84,318,2,I was raised in an environment where I cant really remember there being any risk taking behaviors,-22,day,1,1,uncontrollable,passive,Aspect #2,Contra,-1,2,0,2,-2,-1,-32,-64,0.5,1,0.5,0,1,1,-1,-2,-1,-3
p2cuoibpid,1,-2,25,female,16,employed,3k_4k,100,100,241,3,taking risk is scary,38,NA,0,0,controllable,passive,Aspect #1,Pro,1,3,1,2,-1,-0.3333333333333333,-19.333333333333332,-58,0,0,1,0.3333333333333333,NA,5,1,-1,1,-2
p2cuoibpid,2,-2,25,female,16,employed,3k_4k,100,100,241,3,bad things can happen when taking risk.,-49,less_once,0,0,controllable,passive,Aspect #2,Contra,-1,3,1,2,-1,-0.3333333333333333,-19.333333333333332,-58,0,0,1,0.3333333333333333,6,5,1,-1,1,-2
p2cuoibpid,3,1,25,female,16,employed,3k_4k,100,100,241,3,i'd rather stay safe.,-47,year,0,0,controllable,active,Aspect #3,Contra,-1,3,1,2,-1,-0.3333333333333333,-19.333333333333332,-58,0,0,1,0.3333333333333333,4,5,1,-1,1,-2
p2cvf2j5ug,1,1,32,female,20,employed,2k_3k,56,77,321,8,"It's not an error to end a sentence with a preposition, but it is a little less formal. In emails, text messages, and notes to friends, it's perfectly fine. But if you're writing a research paper or submitting a business proposal and you want to sound very formal, avoid ending sentences with prepositions. One at a time in the field belowl.",25,day,NA,1,controllable,active,Aspect #1,Pro,1,2,2,0,2,1,25,50,NaN,1,1,1,1,1,1,1,1,1
p2cvf2j5ug,2,1,32,female,20,employed,2k_3k,56,77,321,8,"It's not an error to end a sentence with a preposition, but it is a little less formal. In emails, text messages, and notes to friends, it's perfectly fine. But if you're writing a research paper or submitting a business proposal and you want to sound very formal, avoid ending sentences with prepositions. One at a time in the field belowl.",25,day,NA,1,controllable,active,Aspect #2,Pro,1,2,2,0,2,1,25,50,NaN,1,1,1,1,1,1,1,1,1
p2igo6qgaa,3,0,46,female,16,employed,3k_4k,97,96,471,6,I don't like to risk my life for fun.,-40,year,0,0,controllable,active,Aspect #3,Contra,-1,8,5,3,2,0.25,4.75,38,0,0.5,0.375,1,4,3,0.25,0.6666666666666666,1,0
p2igo6qgaa,4,1,46,female,16,employed,3k_4k,97,96,471,6,I am willing to take it on faith that some things will work out.,29,day,0,0,uncontrollable,active,Aspect #4,Pro,1,8,5,3,2,0.25,4.75,38,0,0.5,0.375,1,1,3,0.25,0.6666666666666666,1,0
p2igo6qgaa,5,1,46,female,16,employed,3k_4k,97,96,471,6,I am not a thrill seeker.,-23,month,0,0,controllable,active,Aspect #5,Contra,-1,8,5,3,2,0.25,4.75,38,0,0.5,0.375,1,3,3,0.25,0.6666666666666666,1,0
p2qr5d02ht,1,-2,25,male,4,employed,2k_3k,100,100,314,7,"Generally, I am a person who takes risk because the main reason is everything in life is a learning experience and you will not have that experience if you do not take risk.",12,week,1,1,controllable,active,Aspect #1,Pro,1,3,3,0,3,1,12.666666666666666,38,1,1,1,1,2,2,1,-1.3333333333333333,0,-2
p2qr5d02ht,2,-2,25,male,4,employed,2k_3k,100,100,314,7,Another reason is taking risks shows that you are willing to fail.,12,year,1,1,controllable,active,Aspect #2,Pro,1,3,3,0,3,1,12.666666666666666,38,1,1,1,1,4,2,1,-1.3333333333333333,0,-2
p2qr5d02ht,3,0,25,male,4,employed,2k_3k,100,100,314,7,Another reason is taking risks shows that you can be confident.,14,week,1,1,controllable,active,Aspect #3,Pro,1,3,3,0,3,1,12.666666666666666,38,1,1,1,1,2,2,1,-1.3333333333333333,0,-2
p2rebuo7c3,1,1,48,male,12,employed,5k_x,93,92,289,10,I love taking risks its the only way I know how to become successful ,31,day,0,1,controllable,passive,Aspect #1,Pro,1,2,2,0,2,1,26,52,0,1,1,0,1,1,1,0,1,-1
p2rebuo7c3,2,-1,48,male,12,employed,5k_x,93,92,289,10,Without risks there are no rewards,21,day,0,1,controllable,passive,Aspect #2,Pro,1,2,2,0,2,1,26,52,0,1,1,0,1,1,1,0,1,-1
p2ss3vbadg,2,-1,25,female,12,selfemployed,0_1k,100,100,678,3,Whether it will cause harm to anyone else.,-45,NA,0,0,controllable,active,Aspect #2,Contra,-1,7,0,7,-7,-1,-31.714285714285715,-222,0,0.42857142857142855,0.5714285714285714,0.5714285714285714,NA,2,-1,-1.1666666666666667,-1,-2
p2ss3vbadg,3,-1,25,female,12,selfemployed,0_1k,100,100,678,3,Whether it's an immoral act.,-44,week,0,0,controllable,active,Aspect #3,Contra,-1,7,0,7,-7,-1,-31.714285714285715,-222,0,0.42857142857142855,0.5714285714285714,0.5714285714285714,2,2,-1,-1.1666666666666667,-1,-2
p2ss3vbadg,4,-1,25,female,12,selfemployed,0_1k,100,100,678,3,Whether I will feel guilty about it afterwards.,-15,week,0,0,uncontrollable,passive,Aspect #4,Contra,-1,7,0,7,-7,-1,-31.714285714285715,-222,0,0.42857142857142855,0.5714285714285714,0.5714285714285714,2,2,-1,-1.1666666666666667,-1,-2
p2ss3vbadg,5,-1,25,female,12,selfemployed,0_1k,100,100,678,3,Whether I'm being impulsive.,-2,less_reg,0,1,controllable,active,Aspect #5,Contra,-1,7,0,7,-7,-1,-31.714285714285715,-222,0,0.42857142857142855,0.5714285714285714,0.5714285714285714,5,2,-1,-1.1666666666666667,-1,-2
p2ss3vbadg,6,-1,25,female,12,selfemployed,0_1k,100,100,678,3,Whether I'll feel extremely disappointed if nothing good comes of it.,-16,less_reg,0,1,uncontrollable,passive,Aspect #6,Contra,-1,7,0,7,-7,-1,-31.714285714285715,-222,0,0.42857142857142855,0.5714285714285714,0.5714285714285714,5,2,-1,-1.1666666666666667,-1,-2
p2ss3vbadg,7,-2,25,female,12,selfemployed,0_1k,100,100,678,3,Whether I have the ability to take the risk without having to give up anything important if it turns out poorly.,-50,NA,0,0,controllable,active,NA,Contra,-1,7,0,7,-7,-1,-31.714285714285715,-222,0,0.42857142857142855,0.5714285714285714,0.5714285714285714,NA,2,-1,-1.1666666666666667,-1,-2
p35a1ai7bf,1,-1,64,male,13,employed,5k_x,100,100,346,0,I would rather deal with a sure thing than take a risk,-50,NA,0,1,controllable,active,Aspect #1,Contra,-1,3,0,3,-3,-1,-48.666666666666664,-146,0,1,0.6666666666666666,1,NA,3,-1,-1.3333333333333333,-1,-2
p35a1ai7bf,2,-2,64,male,13,employed,5k_x,100,100,346,0,I don't mid starting something from scratch and build it up but I won't risk everything on speculation,-46,month,0,1,controllable,active,Aspect #2,Contra,-1,3,0,3,-3,-1,-48.666666666666664,-146,0,1,0.6666666666666666,1,3,3,-1,-1.3333333333333333,-1,-2
p35a1ai7bf,3,-1,64,male,13,employed,5k_x,100,100,346,0,I lost a lot of money in the stock market and it ended my taking risks and taught me a valuable lesson,-50,NA,0,1,uncontrollable,active,Aspect #3,Contra,-1,3,0,3,-3,-1,-48.666666666666664,-146,0,1,0.6666666666666666,1,NA,3,-1,-1.3333333333333333,-1,-2
p3bja1q3il,1,-1,30,male,16,selfemployed,5k_x,86,74,221,6,I am willing to task risks as long as the cost is not too great,3,month,0,0,controllable,active,Aspect #1,Pro,1,3,2,1,1,0.3333333333333333,-3.6666666666666665,-11,0,0,1,1,3,3,0,-1.3333333333333333,-1,-2
p3bja1q3il,2,-1,30,male,16,selfemployed,5k_x,86,74,221,6,I avoid taking risks if the cost is too great,-22,month,0,0,controllable,active,Aspect #2,Contra,-1,3,2,1,1,0.3333333333333333,-3.6666666666666665,-11,0,0,1,1,3,3,0,-1.3333333333333333,-1,-2
p3bja1q3il,3,-2,30,male,16,selfemployed,5k_x,86,74,221,6,I am willing to take risks if the possible outcome is greater than the possible risk,8,month,0,0,controllable,active,Aspect #3,Pro,1,3,2,1,1,0.3333333333333333,-3.6666666666666665,-11,0,0,1,1,3,3,0,-1.3333333333333333,-1,-2
p3dcqbv326,1,-1,29,female,11,employed,3k_4k,100,100,174,1,i avoid taking risks because i am predictable,-50,less_reg,1,1,uncontrollable,active,Aspect #1,Contra,-1,4,0,4,-4,-1,-47.5,-190,1,1,0.5,1,5,3.5,-1,-1.25,-1,-2
p3dcqbv326,2,-2,29,female,11,employed,3k_4k,100,100,174,1,I avoid taking risks because I dont like danger,-50,year,1,1,uncontrollable,active,Aspect #2,Contra,-1,4,0,4,-4,-1,-47.5,-190,1,1,0.5,1,4,3.5,-1,-1.25,-1,-2
p3dcqbv326,3,-1,29,female,11,employed,3k_4k,100,100,174,1,i avoid taking risks because I like the same routine,-48,month,1,1,controllable,active,Aspect #3,Contra,-1,4,0,4,-4,-1,-47.5,-190,1,1,0.5,1,3,3.5,-1,-1.25,-1,-2
p3dcqbv326,4,-1,29,female,11,employed,3k_4k,100,100,174,1,i dont like to take risks because i dont like change,-42,month,1,1,controllable,active,Aspect #4,Contra,-1,4,0,4,-4,-1,-47.5,-190,1,1,0.5,1,3,3.5,-1,-1.25,-1,-2
p3fk04hrgs,1,-1,32,male,18,employed,3k_4k,100,98,234,9,I LIKE TO TAKE RISKS,41,year,0,1,controllable,active,Aspect #1,Pro,1,1,1,0,1,1,41,41,0,1,1,1,4,4,1,-1,-1,-1
p3fk3o1bc9,1,-2,31,female,14,unemployed,0_1k,85,70,184,2,I like to avoid risks because I view them as unsafe.,-41,month,0,0,uncontrollable,passive,Aspect #1,Contra,-1,2,0,2,-2,-1,-39,-78,0,0,0,0,3,3,-1,-2,-2,-2
p3fk3o1bc9,2,-2,31,female,14,unemployed,0_1k,85,70,184,2,The word risk has a bad connotation to it.,-37,month,0,0,uncontrollable,passive,Aspect #2,Contra,-1,2,0,2,-2,-1,-39,-78,0,0,0,0,3,3,-1,-2,-2,-2
p3jalp38g1,1,-1,35,female,20,employed,1k_2k,100,100,221,8,I don't want to lose money.,-50,less_once,1,1,controllable,active,Aspect #1,Contra,-1,4,2,2,0,0,4.25,17,0.75,0.75,1,0.75,6,3.5,-1,-0.75,0,-1
p3jalp38g1,2,-1,35,female,20,employed,1k_2k,100,100,221,8,I don't want to feel like a failure.,-33,year,0,0,controllable,passive,Aspect #2,Contra,-1,4,2,2,0,0,4.25,17,0.75,0.75,1,0.75,4,3.5,-1,-0.75,0,-1
p3jalp38g1,3,-1,35,female,20,employed,1k_2k,100,100,221,8,I want to move forward in life which requires some risk.,50,week,1,1,controllable,active,Aspect #3,Pro,1,4,2,2,0,0,4.25,17,0.75,0.75,1,0.75,2,3.5,-1,-0.75,0,-1
p3jalp38g1,4,0,35,female,20,employed,1k_2k,100,100,221,8,If you don't take risks you don't know what you are truly capable of.,50,month,1,1,controllable,active,Aspect #4,Pro,1,4,2,2,0,0,4.25,17,0.75,0.75,1,0.75,3,3.5,-1,-0.75,0,-1
p3lera2r97,1,-2,37,female,18,employed,5k_x,100,100,262,0,I don't like losing so I try to avoid taking risks,-50,less_once,0,1,controllable,passive,Aspect #1,Contra,-1,4,0,4,-4,-1,-50,-200,0,1,1,0.75,6,2,-1,-1.25,0,-2
p3lera2r97,2,-2,37,female,18,employed,5k_x,100,100,262,0,I get anxious when I think about what I could lose,-50,month,0,1,controllable,active,Aspect #2,Contra,-1,4,0,4,-4,-1,-50,-200,0,1,1,0.75,3,2,-1,-1.25,0,-2
p3lera2r97,3,0,37,female,18,employed,5k_x,100,100,262,0,My life is happier when I avoid taking risks,-50,day,0,1,controllable,active,Aspect #3,Contra,-1,4,0,4,-4,-1,-50,-200,0,1,1,0.75,1,2,-1,-1.25,0,-2
p3lera2r97,4,-1,37,female,18,employed,5k_x,100,100,262,0,I sleep well at night knowing I avoid taking risks,-50,day,0,1,controllable,active,Aspect #4,Contra,-1,4,0,4,-4,-1,-50,-200,0,1,1,0.75,1,2,-1,-1.25,0,-2
p3ruvk7t59,1,-2,34,female,13,employed,0_1k,100,100,427,0,No I don't bad things can happen by taking risks.,-50,NA,1,1,controllable,active,Aspect #1,Contra,-1,2,0,2,-2,-1,-50,-100,1,1,1,1,NA,NA,-1,-2.5,-2,-3
p3ruvk7t59,2,-3,34,female,13,employed,0_1k,100,100,427,0,"Sometimes greed can make one take risks, and they end up losing what they have. I don't want to live that way.",-50,NA,1,1,controllable,active,Aspect #2,Contra,-1,2,0,2,-2,-1,-50,-100,1,1,1,1,NA,NA,-1,-2.5,-2,-3
p3st2t8d7r,4,-1,34,male,16,employed,2k_3k,100,100,354,2,I don't like to be a wild person,-24,week,0,1,controllable,active,Aspect #4,Contra,-1,5,0,5,-5,-1,-34.4,-172,0,0.8,1,1,2,1,-1,0,1,-1
p3st2t8d7r,5,1,34,male,16,employed,2k_3k,100,100,354,2,"I believe in the saying, \better safe than sorry\",-50,day,0,0,controllable,active,Aspect #5,Contra,-1,5,0,5,-5,-1,-34.4,-172,0,0.8,1,1,1,1,-1,0,1,-1
p420mfq59t,1,-1,24,male,16,employed,1k_2k,100,100,239,6,I only like to take calculated risks,14,month,0,0,controllable,passive,Aspect #1,Pro,1,3,3,0,3,1,22.333333333333332,67,0,0,0.6666666666666666,0.6666666666666666,3,3,1,-0.6666666666666666,0,-1
p420mfq59t,2,0,24,male,16,employed,1k_2k,100,100,239,6,I don't like to take risks if the risk to reward ratio is not advantageous,17,week,0,0,controllable,active,Aspect #2,Pro,1,3,3,0,3,1,22.333333333333332,67,0,0,0.6666666666666666,0.6666666666666666,2,3,1,-0.6666666666666666,0,-1
p420mfq59t,3,-1,24,male,16,employed,1k_2k,100,100,239,6,Taking risks is sometimes necessary to get ahead,36,month,0,0,uncontrollable,active,Aspect #3,Pro,1,3,3,0,3,1,22.333333333333332,67,0,0,0.6666666666666666,0.6666666666666666,3,3,1,-0.6666666666666666,0,-1
p42e0m765p,1,0,68,female,14,retired,2k_3k,90,76,537,5,I take more risks when I'm feeling secure.,38,month,0,0,uncontrollable,active,Aspect #1,Pro,1,5,4,1,3,0.6,9.8,49,0,0,0,1,3,3,0,-1.2,0,-2
p42e0m765p,2,0,68,female,14,retired,2k_3k,90,76,537,5,I find risk taking exciting.,48,month,0,0,uncontrollable,active,Aspect #2,Pro,1,5,4,1,3,0.6,9.8,49,0,0,0,1,3,3,0,-1.2,0,-2
p42e0m765p,3,-2,68,female,14,retired,2k_3k,90,76,537,5,I find risk taking worrisome.,-47,week,0,0,uncontrollable,active,Aspect #3,Contra,-1,5,4,1,3,0.6,9.8,49,0,0,0,1,2,3,0,-1.2,0,-2
p42e0m765p,4,-2,68,female,14,retired,2k_3k,90,76,537,5,I find risk taking to be dangerous.,6,month,0,0,uncontrollable,active,Aspect #4,Pro,1,5,4,1,3,0.6,9.8,49,0,0,0,1,3,3,0,-1.2,0,-2
p42e0m765p,5,-2,68,female,14,retired,2k_3k,90,76,537,5,"It depends on the mood I'm in, and how I perceive the risk,  whether or not I take a risk.",4,month,0,0,uncontrollable,active,Aspect #5,Pro,1,5,4,1,3,0.6,9.8,49,0,0,0,1,3,3,0,-1.2,0,-2
p42f7pvrt2,1,-3,47,female,13,retired,2k_3k,100,100,775,1,"I am not willing to take risks, I avoid risks. I am not certain of the outcome, if I would take a risk.",-47,less_once,0,0,uncontrollable,passive,Aspect #1,Contra,-1,4,0,4,-4,-1,-48.75,-195,0,0,0.5,0.25,6,6,-1,-2.5,-1,-4
