id,"partid","cond_order","cond_soepframe","soep_item",aspect_ind,"aspect",r_risk,"r_frequency","r_social","r_situation","r_control","r_active"
19,"p3jalp38g1","asp_judg","std","gen",3,"If you don't take risks you don't know what you are truly capable of.",50,"month","1","1","controllable","active"
20,"prhlujas8r","asp_judg","std","gen",0,"I'm usually not willing to take risks because  I don't want to put myself in a worse situation.",-31,"week","0","0","controllable","passive"
21,"ps98rq7foh","asp_judg","std","gen",0,"I knew the payoffs would be high. ",25,"month","0","1","controllable","active"
22,"ps98rq7foh","asp_judg","std","gen",1,"The risk isn't really a risk in the grand scheme of things. ",38,"month","1","1","controllable","active"
23,"p1taj15j1d","asp_judg","std","gen",0,"I like taking risks.",39,"NA","NA","1","NA","active"
24,"p1taj15j1d","asp_judg","std","gen",1,"There is truth to the risk and reward theory.",40,"week","NA","1","NA","active"
25,"p1taj15j1d","asp_judg","std","gen",2,"Risks make things more fun.",39,"week","0","1","NA","active"
26,"p1taj15j1d","asp_judg","std","gen",3,"Risks keep life from being boring.",38,"NA","NA","1","NA","active"
27,"ph5m9h66nm","asp_judg","std","gen",0,"I avoid taking risks to not get back tracked",21,"month","1","0","uncontrollable","passive"
28,"ph5m9h66nm","asp_judg","std","gen",1,"I dont take risks such as loosing money",12,"week","1","0","uncontrollable","passive"
29,"p0ukliu18j","asp_judg","std","gen",0,"I avoid taking risks so I dont lose what I have built up over the years",-50,"less_reg","0","0","controllable","passive"
30,"p0ukliu18j","asp_judg","std","gen",1,"I avoid taking risks so I dont jeopordize what my husband has",-44,"less_reg","0","1","controllable","active"
31,"p0ukliu18j","asp_judg","std","gen",2,"i avoid taking risks because it feels bad to lose something",-32,"month","0","0","controllable","passive"
32,"pddp1iltbm","asp_judg","std","gen",0,"I do not take risks and prefer to avoid",-50,"NA","NA","0","controllable","active"
33,"pddp1iltbm","asp_judg","std","gen",1,"no i do not take risks",-50,"NA","0","0","controllable","active"
34,"pkiuh7rqvu","asp_judg","std","gen",0,"I tend to avoid unnecessary risks.",-50,"NA","1","1","controllable","NA"
35,"pkiuh7rqvu","asp_judg","std","gen",1,"I do not seek out risky behavior.",-50,"NA","1","1","controllable","NA"
36,"pkiuh7rqvu","asp_judg","std","gen",2,"I do not look to participate in behavior that involves physical risk.",-50,"NA","1","1","controllable","NA"
37,"pkiuh7rqvu","asp_judg","std","gen",3,"I understand some risks are necessary in business.",29,"week","1","1","controllable","active"
38,"pkiuh7rqvu","asp_judg","std","gen",4,"I take some risks when trusting others.",28,"month","0","1","uncontrollable","active"
39,"pr4ak5i3sl","asp_judg","std","gen",0,"for family",23,"month","1","1","controllable","active"
40,"pr4ak5i3sl","asp_judg","std","gen",1,"for friends",24,"month","1","1","controllable","active"
41,"pr4ak5i3sl","asp_judg","std","gen",2,"to save someone",47,"year","1","1","controllable","active"
42,"pr4ak5i3sl","asp_judg","std","gen",3,"to better their lives",31,"less_reg","1","1","controllable","active"
43,"p7u54fcc4q","asp_judg","std","gen",0,"How significant is the risk?",-7,"NA","0","0","uncontrollable","NA"
44,"p7u54fcc4q","asp_judg","std","gen",1,"How likely is the risk of something bad happening?",-24,"month","0","0","uncontrollable","passive"
45,"p4oucjvdm1","asp_judg","std","gen",0,"Avoiding loss.",-50,"week","0","1","controllable","passive"
46,"p7u54fcc4q","asp_judg","std","gen",2,"What might the benefit be?",32,"NA","0","0","uncontrollable","active"
47,"p4oucjvdm1","asp_judg","std","gen",1,"Being rewarded for your risk.",-39,"month","0","1","uncontrollable","active"
48,"p7u54fcc4q","asp_judg","std","gen",3,"Do I think I'm capable?",14,"week","0","1","controllable","active"
49,"p7u54fcc4q","asp_judg","std","gen",4,"Can I deal successfully with possible bad outcomes?",35,"month","0","1","controllable","active"
50,"p7u54fcc4q","asp_judg","std","gen",5,"What will people think of me if I fail?",-31,"month","1","0","uncontrollable","passive"
51,"p7u54fcc4q","asp_judg","std","gen",6,"What will people think of me if I don't try?",30,"year","1","0","uncontrollable","NA"
52,"p7u54fcc4q","asp_judg","std","gen",7,"Will I regret not taking the risk?",32,"NA","0","0","controllable","NA"
53,"pl40upe2b5","asp_judg","std","gen",0,"I do enjoy taking risks, but only if I feel that the payoff is worth it.",20,"month","0","0","NA","active"
54,"pl40upe2b5","asp_judg","std","gen",1,"I feel that there are things left to be gained in life if only one takes the risks.",38,"month","0","0","NA","active"
55,"pl40upe2b5","asp_judg","std","gen",2,"Risks, while sometimes not worth the trouble, can lead to amazing stories and a worthwhile payoff.",28,"month","0","0","NA","active"
56,"p35a1ai7bf","asp_judg","std","gen",0,"I would rather deal with a sure thing than take a risk",-50,"NA","0","1","controllable","active"
57,"p35a1ai7bf","asp_judg","std","gen",1,"I don't mid starting something from scratch and build it up but I won't risk everything on speculation",-46,"month","0","1","controllable","active"
58,"p35a1ai7bf","asp_judg","std","gen",2,"I lost a lot of money in the stock market and it ended my taking risks and taught me a valuable lesson",-50,"NA","0","1","uncontrollable","active"
59,"pncnv2dom0","asp_judg","std","gen",0,"By taking risks I often find opportunities I wouldn't otherwise be able to take advantage of. ",50,"less_reg","1","1","controllable","active"
60,"pncnv2dom0","asp_judg","std","gen",1,"By taking risks I challenge myself ",50,"month","0","1","controllable","active"
61,"pncnv2dom0","asp_judg","std","gen",2,"By taking risks I develop more as a person",50,"day","1","1","controllable","active"
62,"pncnv2dom0","asp_judg","std","gen",3,"By taking risks I enhance my lifestyle. ",49,"less_reg","0","1","controllable","active"
63,"pncnv2dom0","asp_judg","std","gen",4,"By taking risks I connect with people I wouldn't have known otherwise. ",36,"less_reg","0","1","controllable","active"
64,"pr1tt4np6b","asp_judg","std","gen",0,"taking risks involves money and I don't have money",-50,"NA","1","1","NA","NA"
65,"pr1tt4np6b","asp_judg","std","gen",1,"taking risks involves risking time, I don't have much time",-50,"week","1","1","uncontrollable","passive"
66,"pr1tt4np6b","asp_judg","std","gen",2,"I know I'm not lucky so taking risks is not appealing to me",-50,"week","1","1","uncontrollable","passive"
67,"pr1tt4np6b","asp_judg","std","gen",3,"I know I'm not lucky so taking risks is not appealing to me",-50,"week","1","1","uncontrollable","passive"
68,"p3dcqbv326","asp_judg","std","gen",0,"i avoid taking risks because i am predictable",-50,"less_reg","1","1","uncontrollable","active"
69,"p3dcqbv326","asp_judg","std","gen",1,"I avoid taking risks because I dont like danger",-50,"year","1","1","uncontrollable","active"
70,"p3dcqbv326","asp_judg","std","gen",2,"i avoid taking risks because I like the same routine",-48,"month","1","1","controllable","active"
71,"p3dcqbv326","asp_judg","std","gen",3,"i dont like to take risks because i dont like change",-42,"month","1","1","controllable","active"
72,"pbai7dfvr0","asp_judg","std","gen",0,"I take risks because of a chance for reward",45,"week","0","1","controllable","active"
73,"pbai7dfvr0","asp_judg","std","gen",1,"The reward is often much greater than when not taking risks",47,"month","1","1","controllable","active"
74,"pbai7dfvr0","asp_judg","std","gen",2,"risks can be fun",29,"week","0","1","controllable","active"
75,"pbai7dfvr0","asp_judg","std","gen",3,"friends are doing it so I want to be social",8,"month","1","1","uncontrollable","active"
76,"pbai7dfvr0","asp_judg","std","gen",4,"the thrill",36,"month","0","1","uncontrollable","active"
77,"pbai7dfvr0","asp_judg","std","gen",5,"to not be boring",27,"month","1","1","controllable","passive"
78,"p7s0qv9m0d","asp_judg","std","gen",0,"I like to think through problems fully.",-14,"week","0","0","controllable","active"
79,"p7s0qv9m0d","asp_judg","std","gen",1,"It's important to me to weigh the consequences of my actions.",-14,"day","0","0","controllable","active"
80,"pq7r70mnvs","asp_judg","std","gen",0,"i try to avoid it because i know they dont always pay off",-46,"day","0","1","controllable","passive"
81,"pq7r70mnvs","asp_judg","std","gen",1,"I like to play it safe",-48,"day","1","NA","controllable","passive"
82,"pq7r70mnvs","asp_judg","std","gen",2,"i prefer to keep waiting for 100% instead of just taking any old chance",-48,"day","0","0","controllable","active"
83,"p7evqmdeek","asp_judg","std","gen",0,"i have done so in the past",44,"month","0","1","controllable","active"
84,"pvv3hg6tjb","asp_judg","std","gen",0,"I like taking risks because I worry about regret.",20,"day","0","0","uncontrollable","active"
85,"pvv3hg6tjb","asp_judg","std","gen",1,"I like taking risks because it gives me a rush..",48,"week","0","1","uncontrollable","passive"
86,"p7evqmdeek","asp_judg","std","gen",1,"ive been known by many as a risk taker",33,"day","1","1","controllable","passive"
87,"p7evqmdeek","asp_judg","std","gen",2,"i dont always think things out first",50,"year","0","1","controllable","active"
88,"pieg7b7s35","asp_judg","std","gen",0,"It is good to take risks to gain higher rewards. ",36,"less_reg","0","0","uncontrollable","passive"
89,"p7evqmdeek","asp_judg","std","gen",3,"i act first and ask questions later",50,"month","0","1","uncontrollable","active"
90,"p7evqmdeek","asp_judg","std","gen",4,"stupid is my middle name",32,"day","0","1","controllable","active"
91,"pvv3hg6tjb","asp_judg","std","gen",2,"I like taking risks because the possibility of something good happening makes me feel alive and  powerful.",45,"week","0","0","uncontrollable","NA"
92,"p6mq9bhhpb","asp_judg","std","gen",0,"Too much risk can be waste",-35,"month","0","0","controllable","active"
93,"pieg7b7s35","asp_judg","std","gen",1,"It is dangerous to take risks because you could lose more than you gain. ",-37,"year","0","0","uncontrollable","passive"
94,"p6mq9bhhpb","asp_judg","std","gen",1,"I value my safety",-26,"week","0","0","controllable","active"
95,"pieg7b7s35","asp_judg","std","gen",2,"I take calculated risks in order to experience growth. ",33,"year","0","1","controllable","active"
96,"p6mq9bhhpb","asp_judg","std","gen",2,"I value my time",-24,"week","0","0","controllable","passive"
97,"p6mq9bhhpb","asp_judg","std","gen",3,"I value my money",-1,"day","0","0","controllable","active"
98,"pieg7b7s35","asp_judg","std","gen",3,"I sometimes take risks and encounter setbacks on the way to my goals. ",-15,"year","0","1","uncontrollable","passive"
99,"pn7id3vdsa","asp_judg","std","gen",0,"When I make a decision to take a risk I weigh the benefits against the possible bad outcomes of the situation.  If the reason to take it outweigh the negatives I usually take the risk",23,"week","0","0","controllable","active"
100,"pn7id3vdsa","asp_judg","std","gen",1,"I would not take a risk if it involved a large loss of money. ",13,"week","0","1","controllable","active"
101,"pn7id3vdsa","asp_judg","std","gen",2,"I would take a risk if it brought someone else happiness",NULL,NULL,NULL,NULL,NULL,NULL
102,"p7dan4d83h","asp_judg","std","gen",0,"I don't enjoy the negative impacts of risks",-50,"week","0","0","controllable","passive"
103,"pti8q2pfad","asp_judg","std","gen",0,"If I were to consider skydiving that would be crazy to me.",-50,"NA","0","0","controllable","NA"
104,"pti8q2pfad","asp_judg","std","gen",1,"I don't think I can even muster the courage to do well in a social situation.",-41,"week","0","1","uncontrollable","active"
105,"pti8q2pfad","asp_judg","std","gen",2,"I value my life more than anything and want to do things to protect it.",-35,"day","0","0","controllable","active"
106,"pvde81okc3","asp_judg","std","gen",0,"I am a risk taker. I change jobs frequently",40,"less_reg","NA","1","controllable","active"
107,"pti8q2pfad","asp_judg","std","gen",3,"I feel more in control when I don't take risks.",-50,"NA","0","NA","controllable","NA"
108,"pvde81okc3","asp_judg","std","gen",1,"I like to gamble occasionally",29,"year","NA","1","controllable","active"
109,"pvde81okc3","asp_judg","std","gen",2,"I like to trade highly speculative stocks",42,"month","NA","1","NA","active"
110,"pvde81okc3","asp_judg","std","gen",3,"I drink to excess",38,"week","NA","1","controllable","active"
111,"pfd9oceeid","asp_judg","std","gen",0,"If you don't take risks you probably won't win.",NULL,NULL,NULL,NULL,NULL,NULL
112,"pfd9oceeid","asp_judg","std","gen",1,"The penalty for taking a risk and losing might be too high.",NULL,NULL,NULL,NULL,NULL,NULL
113,"pfd9oceeid","asp_judg","std","gen",2,"Life without risks can be boring.",NULL,NULL,NULL,NULL,NULL,NULL
114,"pfd9oceeid","asp_judg","std","gen",3,"Life without risks is predictable and much less stressful.",NULL,NULL,NULL,NULL,NULL,NULL
115,"pcqs85n21b","asp_judg","std","gen",0,"I try to avoid risks because I value my time, resources, and health.",-50,"NA","0","0","controllable","NA"
116,"pcqs85n21b","asp_judg","std","gen",1,"I try to avoid risks because it can result in wasted resources.",-50,"NA","0","0","controllable","NA"
117,"pcqs85n21b","asp_judg","std","gen",2,"I try to avoid risks because they most often do not pay off.",-50,"NA","0","0","controllable","NA"
118,"pcqs85n21b","asp_judg","std","gen",3,"I try to avoid risks because they can have far reaching consequences on others as well as myself.",-50,"NA","0","0","controllable","NA"
119,"pcqs85n21b","asp_judg","std","gen",4,"I avoid taking risks because people I love depend on me.",-50,"NA","0","0","controllable","NA"
120,"pcqs85n21b","asp_judg","std","gen",5,"I avoid taking risks because I prefer stability and certainty.",-50,"NA","0","0","controllable","NA"
121,"ptfcfaaij3","asp_judg","std","gen",0,"I take risks because the benefits are bigger than not taking risks",46,"week","0","0","controllable","active"
122,"ptfcfaaij3","asp_judg","std","gen",1,"I take risks because they are thrilling",32,"week","0","0","controllable","active"
123,"pcqs85n21b","asp_judg","std","gen",6,"I avoid taking risks because I enjoy being calm and anxiety free.",-50,"NA","0","0","controllable","NA"
124,"ptfcfaaij3","asp_judg","std","gen",2,"I take risks in order to gain higher status in this world",36,"week","0","0","controllable","active"
125,"p1e4oq4tga","asp_judg","std","gen",0,"I avoid risks due to fear",28,"month","0","1","controllable","passive"
126,"p1e4oq4tga","asp_judg","std","gen",1,"I don't like taking risks",-32,"year","0","1","controllable","passive"
127,"p1e4oq4tga","asp_judg","std","gen",2,"Sometimes risks are not worth it",14,"month","0","1","controllable","passive"
128,"pmrojsjeh0","asp_judg","std","gen",0,"I like to make sure I'm safe",-35,"day","0","0","controllable","active"
129,"pmrojsjeh0","asp_judg","std","gen",1,"I don't like change",-25,"day","0","0","uncontrollable","passive"
130,"pmrojsjeh0","asp_judg","std","gen",2,"I worry a lot",-19,"day","0","1","uncontrollable","passive"
131,"pmrojsjeh0","asp_judg","std","gen",3,"I don't like uncertainty",-50,"week","0","0","uncontrollable","passive"
132,"ps8bpoliol","asp_judg","std","gen",0,"Good things come with high risk, you'll get nowhere if you don't take risks",50,"day","0","1","controllable","active"
133,"ps8bpoliol","asp_judg","std","gen",1,"It feels good and enjoyable when you get good things after you risked a lot.",50,"day","0","1","controllable","active"
134,"ps8bpoliol","asp_judg","std","gen",2,"You build confidence on yourself when you take high risks",50,"week","1","1","controllable","active"
135,"ps8bpoliol","asp_judg","std","gen",3,"You learn way more when you take risks, even if you loose.",50,"week","0","1","controllable","active"
136,"pg3evmk92s","asp_judg","std","gen",0,"Taking risks can earn a lot of money",38,"month","0","0","controllable","active"
137,"pg3evmk92s","asp_judg","std","gen",1,"Taking a risk might lead to an enjoyable experience.",18,"year","0","0","controllable","active"
138,"p2cuoibpid","asp_judg","std","gen",0,"taking risk is scary",38,"NA","0","0","controllable","passive"
139,"pg3evmk92s","asp_judg","std","gen",2,"Taking a risk and losing might cause your health or finances to suffer.",-43,"month","0","0","controllable","active"
140,"p2cuoibpid","asp_judg","std","gen",1,"bad things can happen when taking risk.",-49,"less_once","0","0","controllable","passive"
141,"p2cuoibpid","asp_judg","std","gen",2,"i'd rather stay safe.",-47,"year","0","0","controllable","active"
142,"p75s2qi84c","asp_judg","std","gen",0,"I try to avoid risks because I don't want anything negative to happen.",-50,"less_once","0","0","uncontrollable","NA"
143,"p75s2qi84c","asp_judg","std","gen",1,"I avoid risks because I don't want anything wrong to happen because of me.",-50,"less_once","0","0","uncontrollable","NA"
144,"p75s2qi84c","asp_judg","std","gen",2,"If I take risks, someone might get hurt.  So I don't take risks.",-50,"less_once","0","0","uncontrollable","NA"
145,"paktl8bjj7","asp_judg","std","gen",0,"I avoid taking risks because I am an introvert",-50,"day","1","1","uncontrollable","active"
146,"paktl8bjj7","asp_judg","std","gen",1,"I avoid taking risks because I like stability",-50,"day","0","1","uncontrollable","active"
147,"pqp37b82le","asp_judg","std","gen",0,"As the old saying goes, I think it's better to be safe than sorry.",-33,"less_once","0","0","controllable","passive"
148,"pqp37b82le","asp_judg","std","gen",1,"Taking chances can bring large rewards, but the losses are greater too.",-50,"less_once","0","0","controllable","passive"
149,"phf8vg122e","asp_judg","std","gen",0,"no pain no gain",24,"year","0","1","controllable","active"
150,"p764r6onl3","asp_judg","std","gen",0,"I don't like uncertainty.",-50,"less_reg","0","0","uncontrollable","passive"
151,"phf8vg122e","asp_judg","std","gen",1,"nothing ventured nothing gained ",20,"week","0","1","controllable","active"
152,"p764r6onl3","asp_judg","std","gen",1,"I don't like to fail.",-50,"less_reg","0","0","controllable","passive"
153,"phf8vg122e","asp_judg","std","gen",2,"i'm afraid of losing",-8,"year","0","1","uncontrollable","passive"
154,"pqp37b82le","asp_judg","std","gen",2,"I am much more likely to regret risking and losing big than playing it safe and winning small or not winning at all.",-50,"month","0","0","controllable","active"
155,"pueu1hkgjk","asp_judg","std","gen",0,"I'm not a big risk taker because I have children.",NULL,NULL,NULL,NULL,NULL,NULL
156,"pueu1hkgjk","asp_judg","std","gen",1,"I do love to gamble though, so I do like taking risks sometimes.",NULL,NULL,NULL,NULL,NULL,NULL
157,"pjnmqtljgr","asp_judg","std","gen",0,"I am willing to take risks so I don't feel regret for not taking the risk.",40,"week","0","0","controllable","active"
158,"pjnmqtljgr","asp_judg","std","gen",1,"I take risks because I like bigger rewards.",46,"week","0","0","controllable","active"
159,"p95594cp0p","asp_judg","std","gen",0,"Yes, but it also depends on the situation. The risk tolerance varies depending on the situation.",12,"day","0","0","uncontrollable","passive"
160,"pjnmqtljgr","asp_judg","std","gen",2,"I take risks because I don't like to miss out.",40,"year","1","1","controllable","active"
161,"pjnmqtljgr","asp_judg","std","gen",3,"I take risks because it is fun to be risky in life.",19,"month","0","0","controllable","active"
162,"p95594cp0p","asp_judg","std","gen",1,"I do not mind taking risks because the payoff is generally worth it.",32,"week","0","0","controllable","active"
163,"p95594cp0p","asp_judg","std","gen",2,"It's fun to take risks.",50,"week","0","0","controllable","active"
164,"p95594cp0p","asp_judg","std","gen",3,"Sometimes you have to take a risk to get ahead.",33,"day","0","0","uncontrollable","active"
165,"p95594cp0p","asp_judg","std","gen",4,"Yeah, everyone takes risks everyday.  It's basically a judgement call.",7,"day","0","0","uncontrollable","passive"
166,"pm4s2hpf4p","asp_judg","std","gen",0,"I avoid taking risks because I am afraid of failure. ",-50,"week","0","0","controllable","active"
167,"pm4s2hpf4p","asp_judg","std","gen",1,"I avoid taking risks because I do not want to display my incompetence. ",-50,"week","0","1","controllable","active"
168,"pm4s2hpf4p","asp_judg","std","gen",2,"I avoid taking risks because the results are unpredictable.",-25,"week","0","0","uncontrollable","active"
169,"pm4s2hpf4p","asp_judg","std","gen",3,"I avoid taking risks because risks are not guarantees of success.",-50,"week","0","0","uncontrollable","active"
170,"pm4s2hpf4p","asp_judg","std","gen",4,"I avoid taking risks because the results of risks are unknown.",-28,"month","0","0","uncontrollable","active"
171,"pffu1o02vu","asp_judg","std","gen",0,"calculated risks where i have an advantage",22,"day","1","1","controllable","active"
172,"piokq0dfpr","asp_judg","std","gen",0,"Risks can come with great disappointment",-31,"month","0","1","controllable","active"
173,"piokq0dfpr","asp_judg","std","gen",1,"Risks can come with great gain",34,"NA","1","0","NA","NA"
174,"pre5kgo540","asp_judg","std","gen",0,"I generally avoid risks because I've had a lot of bad experiences in the past in taking risky actions.",-47,"month","0","1","controllable","active"
175,"piokq0dfpr","asp_judg","std","gen",2,"Risks can mean adventure",35,"less_reg","0","1","controllable","active"
176,"pre5kgo540","asp_judg","std","gen",1,"Sometimes I take risks because they are unavoidable.",47,"month","0","0","uncontrollable","passive"
177,"piokq0dfpr","asp_judg","std","gen",3,"great achievements have risk",36,"NA","1","0","NA","NA"
178,"pre5kgo540","asp_judg","std","gen",2,"If the potential benefits are high enough, I might take a risk.",12,"year","0","0","controllable","active"
179,"pt4j0pokcj","asp_judg","std","gen",0,"I do not generally take risks in my daily life because I believe that doing so will eventually be mathematically and logically worse than playing the odds (being safe).",-41,"day","0","1","controllable","active"
180,"pfun3j6ut0","asp_judg","std","gen",0,"I have a family which I need to provide for.",8,"week","1","1","uncontrollable","passive"
181,"pt4j0pokcj","asp_judg","std","gen",1,"I am not a person who is generally willing to take risks because I believe that being cautious is obviously better than acting in a risky way for the most part.",-37,"day","0","1","controllable","active"
182,"pfun3j6ut0","asp_judg","std","gen",1,"I don't want to ruin my life.",-24,"day","0","0","controllable","passive"
183,"ptiaaae9ud","asp_judg","std","gen",0,"I do not enjoy taking risks because knowing the outcome appeals more to me.",-34,"NA","0","1","controllable","active"
184,"pfun3j6ut0","asp_judg","std","gen",2,"Taking a chance can have serious downsides.",15,"month","1","1","controllable","active"
185,"pt4j0pokcj","asp_judg","std","gen",2,"I am not generally a person who is willing to take risks because I would rather win or gain over the long term rather than gain over the short term which does not last.",-40,"day","0","0","controllable","active"
186,"p021ssajin","asp_judg","std","gen",0,"I am worried about the danger of taking a risk.",-37,"day","NA","1","controllable","active"
187,"ptiaaae9ud","asp_judg","std","gen",1,"Taking risks leads to danger ",-43,"NA","0","1","controllable","active"
188,"ptiaaae9ud","asp_judg","std","gen",2,"Taking risks leads to failure more often than not.",-41,"less_reg","0","1","controllable","passive"
189,"p021ssajin","asp_judg","std","gen",1,"I fear death when taking a risk.",-46,"month","0","0","controllable","NA"
190,"pt4j0pokcj","asp_judg","std","gen",3,"I am generally a person who is not willing to take risks because I am a person who is cautious and thoughtful in thought and action.",-35,"day","0","0","controllable","passive"
191,"ptiaaae9ud","asp_judg","std","gen",3,"Risk taking give me anxiety.",-50,"month","0","0","uncontrollable","passive"
192,"p021ssajin","asp_judg","std","gen",2,"I worry about impact on my family.",-47,"NA","0","0","NA","NA"
193,"pt4j0pokcj","asp_judg","std","gen",4,"I am generally a person who is not willing to take risks because I believe that there is an obvious probabilistic truth of the universe that you will lose against bad odds.",-45,"day","0","NA","controllable","active"
194,"p021ssajin","asp_judg","std","gen",3,"I like thing to go well and not worry about outcome.",-39,"NA","NA","NA","NA","NA"
195,"p021ssajin","asp_judg","std","gen",4,"I'm always scared of negative outcome.",-39,"week","0","1","uncontrollable","active"
196,"pv3l4i7h97","asp_judg","std","gen",0,"I prefer not to take risks because it is scary.",-50,"week","0","0","controllable","active"
197,"pv3l4i7h97","asp_judg","std","gen",1,"I prefer not to take risks because it is not necessary to put your safety on the line",-46,"week","0","0","controllable","active"
198,"p59eed6ltn","asp_judg","std","gen",0,"I weigh the odds and tend to go with the safer option.",-31,"week","0","0","controllable","active"
199,"p1je6vsd0d","asp_judg","std","gen",0,"I try to take risks sometimes if you don't take any risks you've never be able to further your potential in the long run.",38,"year","0","1","controllable","active"
200,"p59eed6ltn","asp_judg","std","gen",1,"I want to take the path that would be the most successful.",-4,"week","0","0","controllable","active"
201,"p59eed6ltn","asp_judg","std","gen",2,"I tend to stick with the safe option in the past.",-50,"month","0","0","controllable","active"
202,"pp09h8mu6v","asp_judg","std","gen",0," I try to avoid taking risks because I've had bad luck taking them in the past.",-50,"less_reg","0","1","controllable","active"
203,"pksurk0hbb","asp_judg","std","gen",0,"I generally try to avoid taking risks because I want to be successful in all areas of my life.",-38,"week","0","0","controllable","active"
204,"p1je6vsd0d","asp_judg","std","gen",1,"If you never take any risks you will stay stagnant and never advance.  ",26,"year","0","1","uncontrollable","active"
205,"pp09h8mu6v","asp_judg","std","gen",1,"I avoid taking risks because I don't like unknown outcomes.",-50,"month","0","0","controllable","active"
206,"p1je6vsd0d","asp_judg","std","gen",2,"Life is all about risks we take risks everyday when we wake up.",34,"day","0","1","uncontrollable","active"
207,"pte3172je3","asp_judg","std","gen",0,"I don't like uncertainty.",NULL,NULL,NULL,NULL,NULL,NULL
208,"pp09h8mu6v","asp_judg","std","gen",2,"I avoid taking risks because they make me uncomfortable.",-50,"month","0","0","uncontrollable","passive"
209,"pksurk0hbb","asp_judg","std","gen",1,"I generally try to avoid taking risks because I do not like to deal with unforeseen situations.",-50,"year","0","0","uncontrollable","passive"
210,"povck861kk","asp_judg","std","gen",0,"I am willing to take risks that are calculated and smart.",21,"NA","0","0","controllable","active"
211,"p1je6vsd0d","asp_judg","std","gen",3,"Take risks can be be scary but they can also be learning experiences whether good or bad.",39,"month","0","1","controllable","active"
212,"povck861kk","asp_judg","std","gen",1,"If you do not take risk, you can not expect much in the term of benefits.",16,"NA","0","0","controllable","active"
213,"p1je6vsd0d","asp_judg","std","gen",4,"If you don't take risks you may miss out and great opportunities in life.",NULL,NULL,NULL,NULL,NULL,NULL
214,"pte3172je3","asp_judg","std","gen",1,"I don't like a situation that I might not be able to cope with.",NULL,NULL,NULL,NULL,NULL,NULL
215,"povck861kk","asp_judg","std","gen",2,"If you risk nothing, then you will get nothing.",4,"NA","0","0","controllable","active"
216,"pte3172je3","asp_judg","std","gen",2,"I am probably too afraid.",NULL,NULL,NULL,NULL,NULL,NULL
217,"povck861kk","asp_judg","std","gen",3,"I grew up being influenced by a dad who was willing to take risks.",25,"month","1","1","NA","passive"
218,"pte3172je3","asp_judg","std","gen",3,"I prefer to play it safe.",NULL,NULL,NULL,NULL,NULL,NULL
219,"pte3172je3","asp_judg","std","gen",4,"I am generally satisfied with what I have.",NULL,NULL,NULL,NULL,NULL,NULL
220,"pm42618oco","asp_judg","std","gen",0,"It depends on what the subject is. In general i'd say no. I'm anxious and afraid of failure.",-42,"month","0","1","uncontrollable","passive"
221,"pm42618oco","asp_judg","std","gen",1,"I'm a very anxious person.",-40,"month","0","1","uncontrollable","active"
222,"pm42618oco","asp_judg","std","gen",2,"I'm a very anxious person.",-40,"month","0","1","uncontrollable","active"
223,"pm42618oco","asp_judg","std","gen",3,"The concept of messing up scares me.",-50,"month","0","0","NA","passive"
